song,link,album,year,artist
Catfish,../lyrics/waxahatchee/catfish.html,American Weekend,2012,WAXAHATCHEE
Grass Stain,../lyrics/waxahatchee/grassstain.html,American Weekend,2012,WAXAHATCHEE
"Rose, 1956",../lyrics/waxahatchee/rose1956.html,American Weekend,2012,WAXAHATCHEE
American Weekend,../lyrics/waxahatchee/americanweekend.html,American Weekend,2012,WAXAHATCHEE
Michel,../lyrics/waxahatchee/michel.html,American Weekend,2012,WAXAHATCHEE
Be Good,../lyrics/waxahatchee/begood.html,American Weekend,2012,WAXAHATCHEE
Luminary Blake,../lyrics/waxahatchee/luminaryblake.html,American Weekend,2012,WAXAHATCHEE
Magic City Wholesale,../lyrics/waxahatchee/magiccitywholesale.html,American Weekend,2012,WAXAHATCHEE
Bathtub,../lyrics/waxahatchee/bathtub.html,American Weekend,2012,WAXAHATCHEE
I Think I Love You,../lyrics/waxahatchee/ithinkiloveyou.html,American Weekend,2012,WAXAHATCHEE
Noccalula,../lyrics/waxahatchee/noccalula.html,American Weekend,2012,WAXAHATCHEE
,,American Weekend,2012,WAXAHATCHEE
Hollow Bedroom,../lyrics/waxahatchee/hollowbedroom.html,Cerulean Salt,2013,WAXAHATCHEE
Dixie Cups And Jars,../lyrics/waxahatchee/dixiecupsandjars.html,Cerulean Salt,2013,WAXAHATCHEE
Lips And Limbs,../lyrics/waxahatchee/lipsandlimbs.html,Cerulean Salt,2013,WAXAHATCHEE
Blue Part II,../lyrics/waxahatchee/bluepartii.html,Cerulean Salt,2013,WAXAHATCHEE
Brother Bryan,../lyrics/waxahatchee/brotherbryan.html,Cerulean Salt,2013,WAXAHATCHEE
Coast To Coast,../lyrics/waxahatchee/coasttocoast.html,Cerulean Salt,2013,WAXAHATCHEE
Tangled Envisioning,../lyrics/waxahatchee/tangledenvisioning.html,Cerulean Salt,2013,WAXAHATCHEE
Lively,../lyrics/waxahatchee/lively.html,Cerulean Salt,2013,WAXAHATCHEE
Waiting,../lyrics/waxahatchee/waiting.html,Cerulean Salt,2013,WAXAHATCHEE
Swan Dive,../lyrics/waxahatchee/swandive.html,Cerulean Salt,2013,WAXAHATCHEE
Peace And Quiet,../lyrics/waxahatchee/peaceandquiet.html,Cerulean Salt,2013,WAXAHATCHEE
You're Damaged,../lyrics/waxahatchee/youredamaged.html,Cerulean Salt,2013,WAXAHATCHEE
,,Cerulean Salt,2013,WAXAHATCHEE
Breathless,../lyrics/waxahatchee/breathless.html,Ivy Tripp,2015,WAXAHATCHEE
Under A Rock,../lyrics/waxahatchee/underarock.html,Ivy Tripp,2015,WAXAHATCHEE
Poison,../lyrics/waxahatchee/poison.html,Ivy Tripp,2015,WAXAHATCHEE
La Loose,../lyrics/waxahatchee/laloose.html,Ivy Tripp,2015,WAXAHATCHEE
Stale By Noon,../lyrics/waxahatchee/stalebynoon.html,Ivy Tripp,2015,WAXAHATCHEE
The Dirt,../lyrics/waxahatchee/thedirt.html,Ivy Tripp,2015,WAXAHATCHEE
Blue,../lyrics/waxahatchee/blue.html,Ivy Tripp,2015,WAXAHATCHEE
Air,../lyrics/waxahatchee/air.html,Ivy Tripp,2015,WAXAHATCHEE
<,../lyrics/waxahatchee/423773.html,Ivy Tripp,2015,WAXAHATCHEE
Grey Hair,../lyrics/waxahatchee/greyhair.html,Ivy Tripp,2015,WAXAHATCHEE
Summer Of Love,../lyrics/waxahatchee/summeroflove.html,Ivy Tripp,2015,WAXAHATCHEE
Half Moon,../lyrics/waxahatchee/halfmoon.html,Ivy Tripp,2015,WAXAHATCHEE
Bonfire,../lyrics/waxahatchee/bonfire.html,Ivy Tripp,2015,WAXAHATCHEE
,,Ivy Tripp,2015,WAXAHATCHEE
Black Candy,../lyrics/waxahatchee/blackcandy.html,Early Recordings,2016,WAXAHATCHEE
Clumsy,../lyrics/waxahatchee/clumsy.html,Early Recordings,2016,WAXAHATCHEE
Home Game,../lyrics/waxahatchee/homegame.html,Early Recordings,2016,WAXAHATCHEE
Sister Saint,../lyrics/waxahatchee/sistersaint.html,Early Recordings,2016,WAXAHATCHEE
Whiskey + Math,../lyrics/waxahatchee/whiskeymath.html,Early Recordings,2016,WAXAHATCHEE
With You,../lyrics/waxahatchee/withyou.html,,,WAXAHATCHEE
