song,link,album,year,artist
Truffles,../lyrics/wheatus/truffles.html,Wheatus,2000,WHEATUS
Sunshine,../lyrics/wheatus/sunshine.html,Wheatus,2000,WHEATUS
Teenage Dirtbag,../lyrics/wheatus/teenagedirtbag.html,Wheatus,2000,WHEATUS
A Little Respect,../lyrics/wheatus/alittlerespect.html,Wheatus,2000,WHEATUS
Hump'em N' Dump'em,../lyrics/wheatus/humpemndumpem.html,Wheatus,2000,WHEATUS
Leroy,../lyrics/wheatus/leroy.html,Wheatus,2000,WHEATUS
Hey Mr. Brown,../lyrics/wheatus/heymrbrown.html,Wheatus,2000,WHEATUS
Love Is A Mutt From Hell,../lyrics/wheatus/loveisamuttfromhell.html,Wheatus,2000,WHEATUS
Punk Assed Bitch,../lyrics/wheatus/punkassedbitch.html,Wheatus,2000,WHEATUS
Wannabe Gangstar,../lyrics/wheatus/wannabegangstar.html,Wheatus,2000,WHEATUS
,,Wheatus,2000,WHEATUS
American In Amsterdam,../lyrics/wheatus/americaninamsterdam.html,Hand Over Your Loved Ones,2003,WHEATUS
The Song That I Wrote When You Dissed Me,../lyrics/wheatus/thesongthatiwrotewhenyoudissedme.html,Hand Over Your Loved Ones,2003,WHEATUS
Anyway,../lyrics/wheatus/anyway.html,Hand Over Your Loved Ones,2003,WHEATUS
Freak On,../lyrics/wheatus/freakon.html,Hand Over Your Loved Ones,2003,WHEATUS
Lemonade,../lyrics/wheatus/lemonade.html,Hand Over Your Loved Ones,2003,WHEATUS
The Deck,../lyrics/wheatus/thedeck.html,Hand Over Your Loved Ones,2003,WHEATUS
Fairl Weather Friend,../lyrics/wheatus/fairlweatherfriend.html,Hand Over Your Loved Ones,2003,WHEATUS
Randall,../lyrics/wheatus/randall.html,Hand Over Your Loved Ones,2003,WHEATUS
Whole Amoeba,../lyrics/wheatus/wholeamoeba.html,Hand Over Your Loved Ones,2003,WHEATUS
Dynamite Satchel Of Pain,../lyrics/wheatus/dynamitesatchelofpain.html,Hand Over Your Loved Ones,2003,WHEATUS
,,Hand Over Your Loved Ones,2003,WHEATUS
Something Good,../lyrics/wheatus/somethinggood.html,Too Soon Monsoon,2005,WHEATUS
In The Melody,../lyrics/wheatus/inthemelody.html,Too Soon Monsoon,2005,WHEATUS
BMX Bandits,../lyrics/wheatus/bmxbandits.html,Too Soon Monsoon,2005,WHEATUS
The London Sun,../lyrics/wheatus/thelondonsun.html,Too Soon Monsoon,2005,WHEATUS
I Am What I Is,../lyrics/wheatus/iamwhatiis.html,Too Soon Monsoon,2005,WHEATUS
The Truth I Tell Myself,../lyrics/wheatus/thetruthitellmyself.html,Too Soon Monsoon,2005,WHEATUS
Hometown,../lyrics/wheatus/hometown.html,Too Soon Monsoon,2005,WHEATUS
Desperate Songs,../lyrics/wheatus/desperatesongs.html,Too Soon Monsoon,2005,WHEATUS
This Island,../lyrics/wheatus/thisisland.html,Too Soon Monsoon,2005,WHEATUS
Who Would Have Thought?,../lyrics/wheatus/whowouldhavethought.html,Too Soon Monsoon,2005,WHEATUS
No Happy Ending Tune,../lyrics/wheatus/nohappyendingtune.html,Too Soon Monsoon,2005,WHEATUS
,,Too Soon Monsoon,2005,WHEATUS
From Listening To Lightning,../lyrics/wheatus/fromlisteningtolightning.html,"Pop, Songs & Death - Volume 1: The Lightning EP",2009,WHEATUS
You And Your Stoopid Guitar,../lyrics/wheatus/youandyourstoopidguitar.html,"Pop, Songs & Death - Volume 1: The Lightning EP",2009,WHEATUS
Real Girl,../lyrics/wheatus/realgirl.html,"Pop, Songs & Death - Volume 1: The Lightning EP",2009,WHEATUS
Now,../lyrics/wheatus/now.html,"Pop, Songs & Death - Volume 1: The Lightning EP",2009,WHEATUS
If You Need A Friend,../lyrics/wheatus/ifyouneedafriend.html,"Pop, Songs & Death - Volume 1: The Lightning EP",2009,WHEATUS
Texas,../lyrics/wheatus/texas.html,"Pop, Songs & Death - Volume 1: The Lightning EP",2009,WHEATUS
,,"Pop, Songs & Death - Volume 1: The Lightning EP",2009,WHEATUS
A Fisherman With A Clock,../lyrics/wheatus/afishermanwithaclock.html,"Pop, Songs & Death - Volume 2: The Jupiter EP",2010,WHEATUS
The Story Of The Eggs,../lyrics/wheatus/thestoryoftheeggs.html,"Pop, Songs & Death - Volume 2: The Jupiter EP",2010,WHEATUS
Freedom Song,../lyrics/wheatus/freedomsong.html,"Pop, Songs & Death - Volume 2: The Jupiter EP",2010,WHEATUS
So Old 'n' Told,../lyrics/wheatus/sooldntold.html,"Pop, Songs & Death - Volume 2: The Jupiter EP",2010,WHEATUS
Dream About The Devil,../lyrics/wheatus/dreamaboutthedevil.html,"Pop, Songs & Death - Volume 2: The Jupiter EP",2010,WHEATUS
Bridges To Jupiter,../lyrics/wheatus/bridgestojupiter.html,"Pop, Songs & Death - Volume 2: The Jupiter EP",2010,WHEATUS
Pretty Girl,../lyrics/wheatus/prettygirl.html,"Pop, Songs & Death - Volume 2: The Jupiter EP",2010,WHEATUS
