song,link,album,year,artist
I Must Be High,../lyrics/wilco/imustbehigh.html,A.M.,1995,WILCO
Casino Queen,../lyrics/wilco/casinoqueen.html,A.M.,1995,WILCO
Box Full Of Letters,../lyrics/wilco/boxfullofletters.html,A.M.,1995,WILCO
Shouldn't Be Ashamed,../lyrics/wilco/shouldntbeashamed.html,A.M.,1995,WILCO
Pick Up The Change,../lyrics/wilco/pickupthechange.html,A.M.,1995,WILCO
I Thought I Held You,../lyrics/wilco/ithoughtiheldyou.html,A.M.,1995,WILCO
That's Not The Issue,../lyrics/wilco/thatsnottheissue.html,A.M.,1995,WILCO
It's Just That Simple,../lyrics/wilco/itsjustthatsimple.html,A.M.,1995,WILCO
Should've Been In Love,../lyrics/wilco/shouldvebeeninlove.html,A.M.,1995,WILCO
Passenger Side,../lyrics/wilco/passengerside.html,A.M.,1995,WILCO
Dash 7,../lyrics/wilco/dash7.html,A.M.,1995,WILCO
Blue Eyed Soul,../lyrics/wilco/blueeyedsoul.html,A.M.,1995,WILCO
Too Far Apart,../lyrics/wilco/toofarapart.html,A.M.,1995,WILCO
,,A.M.,1995,WILCO
Misunderstood,../lyrics/wilco/misunderstood.html,Being There,1996,WILCO
"Far, Far Away",../lyrics/wilco/farfaraway.html,Being There,1996,WILCO
Monday,../lyrics/wilco/monday.html,Being There,1996,WILCO
Outtasite (Outta Mind),../lyrics/wilco/outtasiteouttamind.html,Being There,1996,WILCO
Forget The Flowers,../lyrics/wilco/forgettheflowers.html,Being There,1996,WILCO
Red-Eyed And Blue,../lyrics/wilco/redeyedandblue.html,Being There,1996,WILCO
I Got You (At The End Of The Century),../lyrics/wilco/igotyouattheendofthecentury.html,Being There,1996,WILCO
What's The World Got In Store,../lyrics/wilco/whatstheworldgotinstore.html,Being There,1996,WILCO
Hotel Arizona,../lyrics/wilco/hotelarizona.html,Being There,1996,WILCO
Say You Miss Me,../lyrics/wilco/sayyoumissme.html,Being There,1996,WILCO
Sunken Treasure,../lyrics/wilco/sunkentreasure.html,Being There,1996,WILCO
Someday Soon,../lyrics/wilco/somedaysoon.html,Being There,1996,WILCO
Outta Mind (Outtas Sight),../lyrics/wilco/outtamindouttassight.html,Being There,1996,WILCO
