song,link,album,year,artist
Pittsburgh Sound (All In My Blood),../lyrics/wizkhalifa/pittsburghsoundallinmyblood.html,Show And Prove,2006,WIZ KHALIFA
Bout Mine,../lyrics/wizkhalifa/boutmine.html,Show And Prove,2006,WIZ KHALIFA
I Choose You,../lyrics/wizkhalifa/ichooseyou.html,Show And Prove,2006,WIZ KHALIFA
Damn Thing,../lyrics/wizkhalifa/damnthing.html,Show And Prove,2006,WIZ KHALIFA
Keep The Conversation,../lyrics/wizkhalifa/keeptheconversation.html,Show And Prove,2006,WIZ KHALIFA
Stay In Your Lane,../lyrics/wizkhalifa/stayinyourlane.html,Show And Prove,2006,WIZ KHALIFA
Stand Up,../lyrics/wizkhalifa/standup.html,Show And Prove,2006,WIZ KHALIFA
I'm Gonna Ride,../lyrics/wizkhalifa/imgonnaride.html,Show And Prove,2006,WIZ KHALIFA
Let Em Know,../lyrics/wizkhalifa/letemknow.html,Show And Prove,2006,WIZ KHALIFA
Sometimes,../lyrics/wizkhalifa/sometimes.html,Show And Prove,2006,WIZ KHALIFA
History In The Making,../lyrics/wizkhalifa/historyinthemaking.html,Show And Prove,2006,WIZ KHALIFA
Never Too Late,../lyrics/wizkhalifa/nevertoolate.html,Show And Prove,2006,WIZ KHALIFA
,,Show And Prove,2006,WIZ KHALIFA
Got Damn Love It,../lyrics/wizkhalifa/gotdamnloveit.html,Prince Of The City 2,2008,WIZ KHALIFA
Go On Hate,../lyrics/wizkhalifa/goonhate.html,Prince Of The City 2,2008,WIZ KHALIFA
Should I Feel Bad,../lyrics/wizkhalifa/shouldifeelbad.html,Prince Of The City 2,2008,WIZ KHALIFA
Gettin It,../lyrics/wizkhalifa/gettinit.html,Prince Of The City 2,2008,WIZ KHALIFA
Be Easy,../lyrics/wizkhalifa/beeasy.html,Prince Of The City 2,2008,WIZ KHALIFA
Poppin Rubberbands,../lyrics/wizkhalifa/poppinrubberbands.html,Prince Of The City 2,2008,WIZ KHALIFA
Head To The Sky,../lyrics/wizkhalifa/headtothesky.html,Prince Of The City 2,2008,WIZ KHALIFA
Gotta Get It,../lyrics/wizkhalifa/gottagetit.html,Prince Of The City 2,2008,WIZ KHALIFA
Talk To Ya,../lyrics/wizkhalifa/talktoya.html,Prince Of The City 2,2008,WIZ KHALIFA
Chewy (Remix),../lyrics/wizkhalifa/chewyremix.html,Prince Of The City 2,2008,WIZ KHALIFA
Gone,../lyrics/wizkhalifa/gone.html,Prince Of The City 2,2008,WIZ KHALIFA
Buss Down,../lyrics/wizkhalifa/bussdown.html,Prince Of The City 2,2008,WIZ KHALIFA
Smokin Good,../lyrics/wizkhalifa/smokingood.html,Prince Of The City 2,2008,WIZ KHALIFA
Who I Am,../lyrics/wizkhalifa/whoiam222382.html,Prince Of The City 2,2008,WIZ KHALIFA
Time Goes By,../lyrics/wizkhalifa/timegoesby.html,Prince Of The City 2,2008,WIZ KHALIFA
I Still Remember,../lyrics/wizkhalifa/istillremember.html,Prince Of The City 2,2008,WIZ KHALIFA
,,Prince Of The City 2,2008,WIZ KHALIFA
Boarding Pass,../lyrics/wizkhalifa/boardingpass.html,Flight School,2009,WIZ KHALIFA
Ms. Rightfernow,../lyrics/wizkhalifa/msrightfernow.html,Flight School,2009,WIZ KHALIFA
Shame,../lyrics/wizkhalifa/shame.html,Flight School,2009,WIZ KHALIFA
Starstruck (Remix),../lyrics/wizkhalifa/starstruckremix.html,Flight School,2009,WIZ KHALIFA
Dreamer,../lyrics/wizkhalifa/dreamer.html,Flight School,2009,WIZ KHALIFA
Get Sum,../lyrics/wizkhalifa/getsum.html,Flight School,2009,WIZ KHALIFA
Material,../lyrics/wizkhalifa/material.html,Flight School,2009,WIZ KHALIFA
Teach You To Fly,../lyrics/wizkhalifa/teachyoutofly.html,Flight School,2009,WIZ KHALIFA
I'm Good,../lyrics/wizkhalifa/imgood.html,Flight School,2009,WIZ KHALIFA
Name On A Cloud,../lyrics/wizkhalifa/nameonacloud.html,Flight School,2009,WIZ KHALIFA
Wassup,../lyrics/wizkhalifa/wassup.html,Flight School,2009,WIZ KHALIFA
Kleenex,../lyrics/wizkhalifa/kleenex.html,Flight School,2009,WIZ KHALIFA
Never Ever,../lyrics/wizkhalifa/neverever.html,Flight School,2009,WIZ KHALIFA
Soulmate,../lyrics/wizkhalifa/soulmate.html,Flight School,2009,WIZ KHALIFA
Superstar,../lyrics/wizkhalifa/superstar123983.html,Flight School,2009,WIZ KHALIFA
Heart & Soul,../lyrics/wizkhalifa/heartsoul.html,Flight School,2009,WIZ KHALIFA
Take Away,../lyrics/wizkhalifa/takeaway.html,Flight School,2009,WIZ KHALIFA
Sky High,../lyrics/wizkhalifa/skyhigh.html,Flight School,2009,WIZ KHALIFA
Hollywood Hoes,../lyrics/wizkhalifa/hollywoodhoes.html,Flight School,2009,WIZ KHALIFA
Extra Credit,../lyrics/wizkhalifa/extracredit.html,Flight School,2009,WIZ KHALIFA
Extra Extra Credit,../lyrics/wizkhalifa/extraextracredit.html,Flight School,2009,WIZ KHALIFA
,,Flight School,2009,WIZ KHALIFA
I'm A Star,../lyrics/wizkhalifa/imastar.html,Star Power,2009,WIZ KHALIFA
Feels Good,../lyrics/wizkhalifa/feelsgood.html,Star Power,2009,WIZ KHALIFA
Hero Freestyle,../lyrics/wizkhalifa/herofreestyle.html,Star Power,2009,WIZ KHALIFA
Low Ridin' Freestyle,../lyrics/wizkhalifa/lowridinfreestyle.html,Star Power,2009,WIZ KHALIFA
Bankroll,../lyrics/wizkhalifa/bankroll.html,Star Power,2009,WIZ KHALIFA
Change Up,../lyrics/wizkhalifa/changeup.html,Star Power,2009,WIZ KHALIFA
