song,link,album,year,artist
"Tales Of Girls, Boys And Marsupials",../lyrics/wombats/talesofgirlsboysandmarsupials.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
Kill The Director,../lyrics/wombats/killthedirector.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
Moving To New York,../lyrics/wombats/movingtonewyork.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
Lost In The Post,../lyrics/wombats/lostinthepost.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
Party In A Forest (Where's Laura?),../lyrics/wombats/partyinaforestwhereslaura.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
School Uniforms,../lyrics/wombats/schooluniforms.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
Here Comes The Anxiety,../lyrics/wombats/herecomestheanxiety.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
Let's Dance To Joy Division,../lyrics/wombats/letsdancetojoydivision.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
Backfire At The Disco,../lyrics/wombats/backfireatthedisco.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
Little Miss Pipedream,../lyrics/wombats/littlemisspipedream.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
Dr. Suzanne Mattox Phd,../lyrics/wombats/drsuzannemattoxphd.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
Patricia the Stripper,../lyrics/wombats/patriciathestripper.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
My First Wedding,../lyrics/wombats/myfirstwedding.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
Derail And Crash,../lyrics/wombats/derailandcrash.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
Metro Song,../lyrics/wombats/metrosong.html,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
,,"A Guide To Love, Loss And Desperation",2007,"WOMBATS, THE"
Our Perfect Disease,../lyrics/wombats/ourperfectdisease.html,This Modern Glitch,2011,"WOMBATS, THE"
Tokyo (Vampires & Wolves),../lyrics/wombats/tokyovampireswolves.html,This Modern Glitch,2011,"WOMBATS, THE"
Jump Into The Fog,../lyrics/wombats/jumpintothefog.html,This Modern Glitch,2011,"WOMBATS, THE"
Anti-D,../lyrics/wombats/antid.html,This Modern Glitch,2011,"WOMBATS, THE"
Last Night I Dreamt,../lyrics/wombats/lastnightidreamt.html,This Modern Glitch,2011,"WOMBATS, THE"
Techno Fan,../lyrics/wombats/technofan.html,This Modern Glitch,2011,"WOMBATS, THE"
1996,../lyrics/wombats/1996.html,This Modern Glitch,2011,"WOMBATS, THE"
Walking Disasters,../lyrics/wombats/walkingdisasters.html,This Modern Glitch,2011,"WOMBATS, THE"
Girls / Fast Cars,../lyrics/wombats/girlsfastcars.html,This Modern Glitch,2011,"WOMBATS, THE"
Schumacher The Champagne,../lyrics/wombats/schumacherthechampagne.html,This Modern Glitch,2011,"WOMBATS, THE"
Valentine,../lyrics/wombats/valentine.html,This Modern Glitch,2011,"WOMBATS, THE"
,,This Modern Glitch,2011,"WOMBATS, THE"
Emoticons,../lyrics/wombats/emoticons.html,Glitterbug,2015,"WOMBATS, THE"
Give Me A Try,../lyrics/wombats/givemeatry.html,Glitterbug,2015,"WOMBATS, THE"
Greek Tragedy,../lyrics/wombats/greektragedy.html,Glitterbug,2015,"WOMBATS, THE"
Be Your Shadow,../lyrics/wombats/beyourshadow.html,Glitterbug,2015,"WOMBATS, THE"
Headspace,../lyrics/wombats/headspace.html,Glitterbug,2015,"WOMBATS, THE"
This Is Not A Party,../lyrics/wombats/thisisnotaparty.html,Glitterbug,2015,"WOMBATS, THE"
Isabel,../lyrics/wombats/isabel.html,Glitterbug,2015,"WOMBATS, THE"
Your Body Is A Weapon,../lyrics/wombats/yourbodyisaweapon.html,Glitterbug,2015,"WOMBATS, THE"
The English Summer,../lyrics/wombats/theenglishsummer.html,Glitterbug,2015,"WOMBATS, THE"
Pink Lemonade,../lyrics/wombats/pinklemonade.html,Glitterbug,2015,"WOMBATS, THE"
Curveballs,../lyrics/wombats/curveballs.html,Glitterbug,2015,"WOMBATS, THE"
Sex And Question Marks,../lyrics/wombats/sexandquestionmarks.html,Glitterbug,2015,"WOMBATS, THE"
Flowerball,../lyrics/wombats/flowerball.html,Glitterbug,2015,"WOMBATS, THE"
21st Century Blues,../lyrics/wombats/21stcenturyblues.html,,,"WOMBATS, THE"
Addicted To The Cure,../lyrics/wombats/addictedtothecure.html,,,"WOMBATS, THE"
Avalanche,../lyrics/wombats/avalanche.html,,,"WOMBATS, THE"
Dear Hamburg,../lyrics/wombats/dearhamburg.html,,,"WOMBATS, THE"
How I Miss Sally Bray,../lyrics/wombats/howimisssallybray.html,,,"WOMBATS, THE"
IOU's,../lyrics/wombats/ious.html,,,"WOMBATS, THE"
Is This Christmas?,../lyrics/wombats/isthischristmas.html,,,"WOMBATS, THE"
My Circuitboard City,../lyrics/wombats/mycircuitboardcity.html,,,"WOMBATS, THE"
Right Click Save,../lyrics/wombats/rightclicksave.html,,,"WOMBATS, THE"
Shock Goodbyes And P45's,../lyrics/wombats/shockgoodbyesandp45s.html,,,"WOMBATS, THE"
The Barman's Fault,../lyrics/wombats/thebarmansfault.html,,,"WOMBATS, THE"
Trampolining,../lyrics/wombats/trampolining.html,,,"WOMBATS, THE"
Wired Differently,../lyrics/wombats/wireddifferently.html,,,"WOMBATS, THE"
