song,link,album,year,artist
Campaign,../lyrics/chevywoods/campaign.html,Red Cup Music,2011,"WOODS, CHEVY"
She In Love,../lyrics/chevywoods/sheinlove.html,Red Cup Music,2011,"WOODS, CHEVY"
Shaft,../lyrics/chevywoods/shaft.html,Red Cup Music,2011,"WOODS, CHEVY"
Jimmy Fallon,../lyrics/chevywoods/jimmyfallon.html,Red Cup Music,2011,"WOODS, CHEVY"
,,Red Cup Music,2011,"WOODS, CHEVY"
The Cookout,../lyrics/chevywoods/thecookout.html,The Cookout,2011,"WOODS, CHEVY"
Downfall,../lyrics/chevywoods/downfall.html,The Cookout,2011,"WOODS, CHEVY"
Napkins,../lyrics/chevywoods/napkins.html,The Cookout,2011,"WOODS, CHEVY"
The Cool,../lyrics/chevywoods/thecool.html,The Cookout,2011,"WOODS, CHEVY"
Chi-Town,../lyrics/chevywoods/chitown.html,The Cookout,2011,"WOODS, CHEVY"
Down,../lyrics/chevywoods/down.html,The Cookout,2011,"WOODS, CHEVY"
Crazy,../lyrics/chevywoods/crazy.html,The Cookout,2011,"WOODS, CHEVY"
Cassette,../lyrics/chevywoods/cassette.html,The Cookout,2011,"WOODS, CHEVY"
Aunts N Uncles,../lyrics/chevywoods/auntsnuncles.html,The Cookout,2011,"WOODS, CHEVY"
Invitation,../lyrics/chevywoods/invitation.html,The Cookout,2011,"WOODS, CHEVY"
,,The Cookout,2011,"WOODS, CHEVY"
Speed,../lyrics/chevywoods/speed.html,Gang Land,2012,"WOODS, CHEVY"
Vice,../lyrics/chevywoods/vice.html,Gang Land,2012,"WOODS, CHEVY"
Hop Out,../lyrics/chevywoods/hopout.html,Gang Land,2012,"WOODS, CHEVY"
Shine,../lyrics/chevywoods/shine.html,Gang Land,2012,"WOODS, CHEVY"
Outchea,../lyrics/chevywoods/outchea.html,Gang Land,2012,"WOODS, CHEVY"
Jacksonville,../lyrics/chevywoods/jacksonville.html,Gang Land,2012,"WOODS, CHEVY"
Hazelwood,../lyrics/chevywoods/hazelwood.html,Gang Land,2012,"WOODS, CHEVY"
U.S.A.,../lyrics/chevywoods/usa.html,Gang Land,2012,"WOODS, CHEVY"
Ca$h,../lyrics/chevywoods/cah.html,Gang Land,2012,"WOODS, CHEVY"
Circumstances,../lyrics/chevywoods/circumstances.html,Gang Land,2012,"WOODS, CHEVY"
Be Real,../lyrics/chevywoods/bereal.html,Gang Land,2012,"WOODS, CHEVY"
Transit,../lyrics/chevywoods/transit.html,Gang Land,2012,"WOODS, CHEVY"
12 Rounds,../lyrics/chevywoods/12rounds.html,Gang Land,2012,"WOODS, CHEVY"
Two Hundred,../lyrics/chevywoods/twohundred.html,Gang Land,2012,"WOODS, CHEVY"
M'fer,../lyrics/chevywoods/mfer.html,Gang Land,2012,"WOODS, CHEVY"
Still Survivin,../lyrics/chevywoods/stillsurvivin.html,Gang Land,2012,"WOODS, CHEVY"
Travolta,../lyrics/chevywoods/travolta.html,Gang Land,2012,"WOODS, CHEVY"
36,../lyrics/chevywoods/36.html,Gang Land,2012,"WOODS, CHEVY"
Lott,../lyrics/chevywoods/lott.html,Gang Land,2012,"WOODS, CHEVY"
Delonte West,../lyrics/chevywoods/delontewest.html,Gang Land,2012,"WOODS, CHEVY"
Homerun,../lyrics/chevywoods/homerun.html,Gang Land,2012,"WOODS, CHEVY"
Ace N Mitch,../lyrics/chevywoods/acenmitch.html,Gang Land,2012,"WOODS, CHEVY"
Nothin Else,../lyrics/chevywoods/nothinelse.html,Gang Land,2012,"WOODS, CHEVY"
,,Gang Land,2012,"WOODS, CHEVY"
Intro,../lyrics/chevywoods/intro431078.html,Gangland 2,2013,"WOODS, CHEVY"
No You Didn't,../lyrics/chevywoods/noyoudidnt.html,Gangland 2,2013,"WOODS, CHEVY"
Different,../lyrics/chevywoods/different.html,Gangland 2,2013,"WOODS, CHEVY"
Pickup And Dropoffs,../lyrics/chevywoods/pickupanddropoffs.html,Gangland 2,2013,"WOODS, CHEVY"
Do This All The Time,../lyrics/chevywoods/dothisallthetime.html,Gangland 2,2013,"WOODS, CHEVY"
Things Change,../lyrics/chevywoods/thingschange.html,Gangland 2,2013,"WOODS, CHEVY"
Sledgren,../lyrics/chevywoods/sledgren.html,Gangland 2,2013,"WOODS, CHEVY"
Wit It,../lyrics/chevywoods/witit.html,Gangland 2,2013,"WOODS, CHEVY"
Make Ya Scream,../lyrics/chevywoods/makeyascream.html,Gangland 2,2013,"WOODS, CHEVY"
Uncle Ty,../lyrics/chevywoods/unclety.html,Gangland 2,2013,"WOODS, CHEVY"
Business Men,../lyrics/chevywoods/businessmen.html,Gangland 2,2013,"WOODS, CHEVY"
Rich Niggaz,../lyrics/chevywoods/richniggaz.html,Gangland 2,2013,"WOODS, CHEVY"
KD35,../lyrics/chevywoods/kd35.html,Gangland 2,2013,"WOODS, CHEVY"
Slow Me Down,../lyrics/chevywoods/slowmedown.html,Gangland 2,2013,"WOODS, CHEVY"
Own The Club,../lyrics/chevywoods/owntheclub.html,Gangland 2,2013,"WOODS, CHEVY"
Cold,../lyrics/chevywoods/cold.html,Gangland 2,2013,"WOODS, CHEVY"
Tony Hawk,../lyrics/chevywoods/tonyhawk.html,Gangland 2,2013,"WOODS, CHEVY"
,,Gangland 2,2013,"WOODS, CHEVY"
Welcome 2 The Trap,../lyrics/chevywoods/welcome2thetrap.html,Gangland 3,2015,"WOODS, CHEVY"
Champagne,../lyrics/chevywoods/champagne.html,Gangland 3,2015,"WOODS, CHEVY"
Fernando,../lyrics/chevywoods/fernando.html,Gangland 3,2015,"WOODS, CHEVY"
Gold Chains Gold Daytons,../lyrics/chevywoods/goldchainsgolddaytons.html,Gangland 3,2015,"WOODS, CHEVY"
Yo Type,../lyrics/chevywoods/yotype.html,Gangland 3,2015,"WOODS, CHEVY"
Shooters,../lyrics/chevywoods/shooters.html,Gangland 3,2015,"WOODS, CHEVY"
In The Kitchen,../lyrics/chevywoods/inthekitchen.html,Gangland 3,2015,"WOODS, CHEVY"
Sticc To The Plan,../lyrics/chevywoods/sticctotheplan.html,Gangland 3,2015,"WOODS, CHEVY"
Garfield,../lyrics/chevywoods/garfield.html,Gangland 3,2015,"WOODS, CHEVY"
Get To Know,../lyrics/chevywoods/gettoknow.html,Gangland 3,2015,"WOODS, CHEVY"
5 AM,../lyrics/chevywoods/5am.html,Gangland 3,2015,"WOODS, CHEVY"
For The Money,../lyrics/chevywoods/forthemoney.html,Gangland 3,2015,"WOODS, CHEVY"
,,Gangland 3,2015,"WOODS, CHEVY"
Now That I'm Up,../lyrics/chevywoods/nowthatimup.html,The 48 Hunnid Project,2015,"WOODS, CHEVY"
Getcha Some,../lyrics/chevywoods/getchasome.html,The 48 Hunnid Project,2015,"WOODS, CHEVY"
All Said And Done,../lyrics/chevywoods/allsaidanddone.html,The 48 Hunnid Project,2015,"WOODS, CHEVY"
Lookin Back,../lyrics/chevywoods/lookinback.html,The 48 Hunnid Project,2015,"WOODS, CHEVY"
,,The 48 Hunnid Project,2015,"WOODS, CHEVY"
Gang Shit Only,../lyrics/chevywoods/gangshitonly.html,Gang Shit Only,2016,"WOODS, CHEVY"
Bank Of America,../lyrics/chevywoods/bankofamerica.html,Gang Shit Only,2016,"WOODS, CHEVY"
Back N Fourth,../lyrics/chevywoods/backnfourth.html,Gang Shit Only,2016,"WOODS, CHEVY"
Forever,../lyrics/chevywoods/forever.html,Gang Shit Only,2016,"WOODS, CHEVY"
Workin My Wrist,../lyrics/chevywoods/workinmywrist.html,Gang Shit Only,2016,"WOODS, CHEVY"
Curved,../lyrics/chevywoods/curved.html,Gang Shit Only,2016,"WOODS, CHEVY"
No Love,../lyrics/chevywoods/nolove.html,Gang Shit Only,2016,"WOODS, CHEVY"
Want To,../lyrics/chevywoods/wantto.html,Gang Shit Only,2016,"WOODS, CHEVY"
Skinny Nigga,../lyrics/chevywoods/skinnynigga.html,Gang Shit Only,2016,"WOODS, CHEVY"
Rebound,../lyrics/chevywoods/rebound.html,Gang Shit Only,2016,"WOODS, CHEVY"
Been Around,../lyrics/chevywoods/beenaround.html,Gang Shit Only,2016,"WOODS, CHEVY"
History,../lyrics/chevywoods/history.html,Gang Shit Only,2016,"WOODS, CHEVY"
30 Deep,../lyrics/chevywoods/30deep.html,,,"WOODS, CHEVY"
All The Way Up (Freestyle),../lyrics/chevywoods/allthewayupfreestyle.html,,,"WOODS, CHEVY"
Gang Gang,http://www.azlyrics.com/lyrics/wizkhalifa/ganggang.html,,,"WOODS, CHEVY"
Isaac Hayes,http://www.azlyrics.com/lyrics/wizkhalifa/isaachayes.html,,,"WOODS, CHEVY"
The Drive,../lyrics/chevywoods/thedrive.html,,,"WOODS, CHEVY"
Trap Phone,http://www.azlyrics.com/lyrics/wizkhalifa/trapphone.html,,,"WOODS, CHEVY"
Wit My Dogs,../lyrics/chevywoods/witmydogs.html,,,"WOODS, CHEVY"
