song,link,album,year,artist
My Mind Gone,../lyrics/woohdakid/mymindgone.html,Strap-A-Holics,2011,WOOH DA KID
Follow Me,../lyrics/woohdakid/followme.html,Strap-A-Holics,2011,WOOH DA KID
Jackboyz,../lyrics/woohdakid/jackboyz.html,Strap-A-Holics,2011,WOOH DA KID
Everything Bricksquad,../lyrics/woohdakid/everythingbricksquad.html,Strap-A-Holics,2011,WOOH DA KID
No Romance,../lyrics/woohdakid/noromance.html,Strap-A-Holics,2011,WOOH DA KID
,,Strap-A-Holics,2011,WOOH DA KID
Strap-A-Holics Reloaded 2.0,../lyrics/woohdakid/strapaholicsreloaded20.html,Strap-A-Holics 2.0: Reloaded,2012,WOOH DA KID
Bricksquad Diva,../lyrics/woohdakid/bricksquaddiva.html,Strap-A-Holics 2.0: Reloaded,2012,WOOH DA KID
Death Around The Corner,../lyrics/woohdakid/deatharoundthecorner.html,Strap-A-Holics 2.0: Reloaded,2012,WOOH DA KID
Party Hard,../lyrics/woohdakid/partyhard.html,Strap-A-Holics 2.0: Reloaded,2012,WOOH DA KID
Laid Down,../lyrics/woohdakid/laiddown.html,Strap-A-Holics 2.0: Reloaded,2012,WOOH DA KID
,,Strap-A-Holics 2.0: Reloaded,2012,WOOH DA KID
FMJ,../lyrics/woohdakid/fmj.html,Full Metal Jacket,2013,WOOH DA KID
Dirty Lungs,../lyrics/woohdakid/dirtylungs.html,Full Metal Jacket,2013,WOOH DA KID
Maniac,../lyrics/woohdakid/maniac.html,Full Metal Jacket,2013,WOOH DA KID
Can't Be My Lady,../lyrics/woohdakid/cantbemylady.html,Full Metal Jacket,2013,WOOH DA KID
Rude Boy,../lyrics/woohdakid/rudeboy.html,Full Metal Jacket,2013,WOOH DA KID
What A G Like,../lyrics/woohdakid/whataglike.html,Full Metal Jacket,2013,WOOH DA KID
Benji,../lyrics/woohdakid/benji.html,Full Metal Jacket,2013,WOOH DA KID
Cut Throat,../lyrics/woohdakid/cutthroat.html,Full Metal Jacket,2013,WOOH DA KID
Duck Tape,../lyrics/woohdakid/ducktape.html,,,WOOH DA KID
