song,link,album,year,artist
Old Songs,../lyrics/bettywright/oldsongs.html,,,"WRIGHT, BETTY"
Real Woman,../lyrics/bettywright/realwoman.html,,,"WRIGHT, BETTY"
In The Middle Of The Game (Don't Change The Play),../lyrics/bettywright/inthemiddleofthegamedontchangetheplay.html,,,"WRIGHT, BETTY"
Surrender,../lyrics/bettywright/surrender.html,,,"WRIGHT, BETTY"
Grapes On A Vine,../lyrics/bettywright/grapesonavine.html,,,"WRIGHT, BETTY"
Look Around (Be A Man),../lyrics/bettywright/lookaroundbeaman.html,,,"WRIGHT, BETTY"
Tonight Again,../lyrics/bettywright/tonightagain.html,,,"WRIGHT, BETTY"
After The Pain,../lyrics/bettywright/afterthepain.html,,,"WRIGHT, BETTY"
Clean Up Woman,../lyrics/bettywright/cleanupwoman.html,,,"WRIGHT, BETTY"
Let Me Be Your Lovemaker,../lyrics/bettywright/letmebeyourlovemaker.html,,,"WRIGHT, BETTY"
"No Pain, No Gain",../lyrics/bettywright/nopainnogain.html,,,"WRIGHT, BETTY"
Secretary,../lyrics/bettywright/secretary.html,,,"WRIGHT, BETTY"
Tonight Is The Night,../lyrics/bettywright/tonightisthenight.html,,,"WRIGHT, BETTY"
