song,link,album,year,artist
They Don't Really Know Bout Dro,../lyrics/youngdro/theydontreallyknowboutdro.html,Best Thang Smokin',2006,YOUNG DRO
Man In The Trunk,../lyrics/youngdro/maninthetrunk.html,Best Thang Smokin',2006,YOUNG DRO
Presidential,../lyrics/youngdro/presidential.html,Best Thang Smokin',2006,YOUNG DRO
Shoulder Lean,../lyrics/youngdro/shoulderlean.html,Best Thang Smokin',2006,YOUNG DRO
U Don't See Me,../lyrics/youngdro/udontseeme.html,Best Thang Smokin',2006,YOUNG DRO
Rubberband Banks,../lyrics/youngdro/rubberbandbanks.html,Best Thang Smokin',2006,YOUNG DRO
We Lied,../lyrics/youngdro/welied.html,Best Thang Smokin',2006,YOUNG DRO
My Girl,../lyrics/youngdro/mygirl.html,Best Thang Smokin',2006,YOUNG DRO
100 Yard Dash,../lyrics/youngdro/100yarddash.html,Best Thang Smokin',2006,YOUNG DRO
Hear Me Cry,../lyrics/youngdro/hearmecry.html,Best Thang Smokin',2006,YOUNG DRO
Gangsta,../lyrics/youngdro/gangsta.html,Best Thang Smokin',2006,YOUNG DRO
High Five,../lyrics/youngdro/highfive.html,Best Thang Smokin',2006,YOUNG DRO
Fresh,../lyrics/youngdro/fresh.html,Best Thang Smokin',2006,YOUNG DRO
What It Is,../lyrics/youngdro/whatitis.html,Best Thang Smokin',2006,YOUNG DRO
Getting Rich,../lyrics/youngdro/gettingrich.html,Best Thang Smokin',2006,YOUNG DRO
Cartoon,../lyrics/youngdro/cartoon.html,Best Thang Smokin',2006,YOUNG DRO
,,Best Thang Smokin',2006,YOUNG DRO
Odds,../lyrics/youngdro/odds.html,High Times,2013,YOUNG DRO
Strong,../lyrics/youngdro/strong.html,High Times,2013,YOUNG DRO
Bad Bitch,../lyrics/youngdro/badbitch.html,High Times,2013,YOUNG DRO
FDB,../lyrics/youngdro/fdb.html,High Times,2013,YOUNG DRO
Djuan & Spodee,../lyrics/youngdro/djuanspodee.html,High Times,2013,YOUNG DRO
,,High Times,2013,YOUNG DRO
We In Da City,../lyrics/youngdro/weindacity.html,Da Reality Show,2015,YOUNG DRO
Blessing,../lyrics/youngdro/blessing.html,,,YOUNG DRO
Boomin,../lyrics/youngdro/boomin.html,,,YOUNG DRO
Doodoooooo,../lyrics/youngdro/doodoooooo.html,,,YOUNG DRO
FDB (Remix),../lyrics/youngdro/fdbremix.html,,,YOUNG DRO
Freeze Me (Remix),../lyrics/youngdro/freezemeremix.html,,,YOUNG DRO
Go To The Club,../lyrics/youngdro/gototheclub.html,,,YOUNG DRO
I Got Money,../lyrics/youngdro/igotmoney.html,,,YOUNG DRO
No Pressure,../lyrics/youngdro/nopressure.html,,,YOUNG DRO
Polo Down,../lyrics/youngdro/polodown.html,,,YOUNG DRO
Shell,../lyrics/youngdro/shell.html,,,YOUNG DRO
Shower,../lyrics/youngdro/shower.html,,,YOUNG DRO
Take Off,../lyrics/youngdro/takeoff.html,,,YOUNG DRO
Tropical,../lyrics/youngdro/tropical.html,,,YOUNG DRO
We Gettin Rich,../lyrics/youngdro/wegettinrich.html,,,YOUNG DRO
What The Hell Are Those,../lyrics/youngdro/whatthehellarethose.html,,,YOUNG DRO
