song,link,album,year,artist
Rolie On My Wrist,../lyrics/younggreatness/rollieonmywrist.html,Dollar For Hate,2014,YOUNG GREATNESS
,,Dollar For Hate,2014,YOUNG GREATNESS
Moolah,../lyrics/younggreatness/moolah.html,I Tried to Tell 'Em,2015,YOUNG GREATNESS
Yea,../lyrics/younggreatness/yeah.html,I Tried to Tell 'Em,2015,YOUNG GREATNESS
,,I Tried to Tell 'Em,2015,YOUNG GREATNESS
Lingo Dripping,../lyrics/younggreatness/lingodripping.html,I Tried to Tell Em 2,2016,YOUNG GREATNESS
Freak,../lyrics/younggreatness/freak.html,I Tried to Tell Em 2,2016,YOUNG GREATNESS
Celebration,../lyrics/younggreatness/celebration.html,I Tried to Tell Em 2,2016,YOUNG GREATNESS
Moolah,../lyrics/younggreatness/moolah.html,I Tried to Tell Em 2,2016,YOUNG GREATNESS
Moolah (Remix),../lyrics/younggreatness/moolahremix.html,,,YOUNG GREATNESS
On U,../lyrics/younggreatness/onu.html,,,YOUNG GREATNESS
White,../lyrics/younggreatness/white.html,,,YOUNG GREATNESS
