song,link,album,year,artist
Intro (M.A The Mixtape),../lyrics/youngma/intromathemixtape.html,M.A The Mixtape,2015,YOUNG M.A
Body Bag,../lyrics/youngma/bodybag.html,M.A The Mixtape,2015,YOUNG M.A
Henny Dance,../lyrics/youngma/hennydance.html,M.A The Mixtape,2015,YOUNG M.A
Act'n Up,../lyrics/youngma/actnup.html,M.A The Mixtape,2015,YOUNG M.A
Girlfriend,../lyrics/youngma/girlfriend.html,M.A The Mixtape,2015,YOUNG M.A
No Trust,../lyrics/youngma/notrust.html,M.A The Mixtape,2015,YOUNG M.A
Plottin' (Short Story),../lyrics/youngma/plottinshortstory.html,M.A The Mixtape,2015,YOUNG M.A
Dear Bro,../lyrics/youngma/dearbro.html,M.A The Mixtape,2015,YOUNG M.A
Pain,../lyrics/youngma/pain.html,M.A The Mixtape,2015,YOUNG M.A
Hot Nigga (Freestyle),../lyrics/youngma/hotniggafreestyle.html,M.A The Mixtape,2015,YOUNG M.A
M.A Bitch (Freestyle),../lyrics/youngma/mabitchfreestyle.html,M.A The Mixtape,2015,YOUNG M.A
Danny Glover (Freestyle),../lyrics/youngma/dannygloverfreestyle.html,M.A The Mixtape,2015,YOUNG M.A
Levels (Freestyle),../lyrics/youngma/levelsfreestyle.html,M.A The Mixtape,2015,YOUNG M.A
Wet Wet,../lyrics/youngma/wetwet.html,M.A The Mixtape,2015,YOUNG M.A
Og Bobby Johnson (Freestyle),../lyrics/youngma/ogbobbyjohnsonfreestyle.html,M.A The Mixtape,2015,YOUNG M.A
Kold World,../lyrics/youngma/koldworld.html,M.A The Mixtape,2015,YOUNG M.A
6 God (Freestyle),../lyrics/youngma/6godfreestyle.html,M.A The Mixtape,2015,YOUNG M.A
,,M.A The Mixtape,2015,YOUNG M.A
Intro (Sleep Walkin),../lyrics/youngma/introsleepwalkin.html,Sleep Walkin,2015,YOUNG M.A
Quiet Storm,../lyrics/youngma/quietstorm.html,Sleep Walkin,2015,YOUNG M.A
Get This Money,../lyrics/youngma/getthismoney.html,Sleep Walkin,2015,YOUNG M.A
Brooklyn Poppin',../lyrics/youngma/brooklynpoppin.html,Sleep Walkin,2015,YOUNG M.A
Hood Love,../lyrics/youngma/hoodlove.html,Sleep Walkin,2015,YOUNG M.A
10 Bandz,../lyrics/youngma/10bandz.html,Sleep Walkin,2015,YOUNG M.A
Through The Day,../lyrics/youngma/throughtheday.html,Sleep Walkin,2015,YOUNG M.A
Check,../lyrics/youngma/check.html,Sleep Walkin,2015,YOUNG M.A
Regular,../lyrics/youngma/regular.html,Sleep Walkin,2015,YOUNG M.A
Ether,../lyrics/youngma/ether.html,Sleep Walkin,2015,YOUNG M.A
Karma Krys,../lyrics/youngma/karmakrys.html,Sleep Walkin,2015,YOUNG M.A
Dreams,../lyrics/youngma/dreams.html,Sleep Walkin,2015,YOUNG M.A
HennyNHoes,../lyrics/youngma/hennynhoes.html,Sleep Walkin,2015,YOUNG M.A
Eat,../lyrics/youngma/eat.html,,,YOUNG M.A
Kween (Freestyle),../lyrics/youngma/kweenfreestyle.html,,,YOUNG M.A
OOOUUU,../lyrics/youngma/ooouuu.html,,,YOUNG M.A
Ooouuu Remix,../lyrics/youngma/ooouuuremix.html,,,YOUNG M.A
So Gone (Freestyle),../lyrics/youngma/sogonefreestyle.html,,,YOUNG M.A
Summer Story,../lyrics/youngma/summerstory.html,,,YOUNG M.A
