song,link,album,year,artist
Apartment,../lyrics/youngthegiant/apartment.html,Young The Giant,2011,YOUNG THE GIANT
My Body,../lyrics/youngthegiant/mybody.html,Young The Giant,2011,YOUNG THE GIANT
I Got,../lyrics/youngthegiant/igot.html,Young The Giant,2011,YOUNG THE GIANT
Cough Syrup,../lyrics/youngthegiant/coughsyrup.html,Young The Giant,2011,YOUNG THE GIANT
God Made Man,../lyrics/youngthegiant/godmademan.html,Young The Giant,2011,YOUNG THE GIANT
12 Fingers,../lyrics/youngthegiant/12fingers.html,Young The Giant,2011,YOUNG THE GIANT
Strings,../lyrics/youngthegiant/strings.html,Young The Giant,2011,YOUNG THE GIANT
Your Side,../lyrics/youngthegiant/yourside.html,Young The Giant,2011,YOUNG THE GIANT
Garands,../lyrics/youngthegiant/garands.html,Young The Giant,2011,YOUNG THE GIANT
St. Walker,../lyrics/youngthegiant/stwalker.html,Young The Giant,2011,YOUNG THE GIANT
Islands,../lyrics/youngthegiant/islands.html,Young The Giant,2011,YOUNG THE GIANT
Guns Out,../lyrics/youngthegiant/gunsout.html,Young The Giant,2011,YOUNG THE GIANT
Every Little Thing,../lyrics/youngthegiant/everylittlething.html,Young The Giant,2011,YOUNG THE GIANT
Typhoon,../lyrics/youngthegiant/typhoon.html,Young The Giant,2011,YOUNG THE GIANT
,,Young The Giant,2011,YOUNG THE GIANT
Anagram,../lyrics/youngthegiant/anagram.html,Mind Over Matter,2014,YOUNG THE GIANT
It's About Time,../lyrics/youngthegiant/itsabouttime.html,Mind Over Matter,2014,YOUNG THE GIANT
Crystallized,../lyrics/youngthegiant/crystallized.html,Mind Over Matter,2014,YOUNG THE GIANT
Mind Over Matter,../lyrics/youngthegiant/mindovermatter.html,Mind Over Matter,2014,YOUNG THE GIANT
Daydreamer,../lyrics/youngthegiant/daydreamer.html,Mind Over Matter,2014,YOUNG THE GIANT
Firelight,../lyrics/youngthegiant/firelight.html,Mind Over Matter,2014,YOUNG THE GIANT
Camera,../lyrics/youngthegiant/camera.html,Mind Over Matter,2014,YOUNG THE GIANT
In My Home,../lyrics/youngthegiant/inmyhome.html,Mind Over Matter,2014,YOUNG THE GIANT
Eros,../lyrics/youngthegiant/eros.html,Mind Over Matter,2014,YOUNG THE GIANT
Teachers,../lyrics/youngthegiant/teachers.html,Mind Over Matter,2014,YOUNG THE GIANT
Waves,../lyrics/youngthegiant/waves.html,Mind Over Matter,2014,YOUNG THE GIANT
Paralysis,../lyrics/youngthegiant/paralysis.html,Mind Over Matter,2014,YOUNG THE GIANT
,,Mind Over Matter,2014,YOUNG THE GIANT
Amerika,../lyrics/youngthegiant/amerika.html,Home Of The Strange,2016,YOUNG THE GIANT
Something To Believe In,../lyrics/youngthegiant/somethingtobelievein.html,Home Of The Strange,2016,YOUNG THE GIANT
Elsewhere,../lyrics/youngthegiant/elsewhere.html,Home Of The Strange,2016,YOUNG THE GIANT
Mr. Know-It-All,../lyrics/youngthegiant/mrknowitall.html,Home Of The Strange,2016,YOUNG THE GIANT
Jungle Youth,../lyrics/youngthegiant/jungleyouth.html,Home Of The Strange,2016,YOUNG THE GIANT
Titus Was Born,../lyrics/youngthegiant/tituswasborn.html,Home Of The Strange,2016,YOUNG THE GIANT
Repeat,../lyrics/youngthegiant/repeat.html,Home Of The Strange,2016,YOUNG THE GIANT
Silvertongue,../lyrics/youngthegiant/silvertongue.html,Home Of The Strange,2016,YOUNG THE GIANT
Art Exhibit,../lyrics/youngthegiant/artexhibit.html,Home Of The Strange,2016,YOUNG THE GIANT
Nothing's Over,../lyrics/youngthegiant/nothingsover.html,Home Of The Strange,2016,YOUNG THE GIANT
Home Of The Strange,../lyrics/youngthegiant/homeofthestrange.html,Home Of The Strange,2016,YOUNG THE GIANT
Mirrorball,../lyrics/youngthegiant/mirrorball.html,,,YOUNG THE GIANT
