song,link,album,year,artist
Everybody Doesn't,../lyrics/tatayoung/everybodydoesnt.html,I Believe,2004,"YOUNG, TATA"
"Sexy, Naughty, Bitchy",../lyrics/tatayoung/sexynaughtybitchy.html,I Believe,2004,"YOUNG, TATA"
I Believe In Love,../lyrics/tatayoung/ibelieveinlove.html,I Believe,2004,"YOUNG, TATA"
Call Him Mine,../lyrics/tatayoung/callhimmine.html,I Believe,2004,"YOUNG, TATA"
Cinderella,../lyrics/tatayoung/cinderella.html,I Believe,2004,"YOUNG, TATA"
Lonely In Space,../lyrics/tatayoung/lonelyinspace.html,I Believe,2004,"YOUNG, TATA"
I Think Of You,../lyrics/tatayoung/ithinkofyou.html,I Believe,2004,"YOUNG, TATA"
"Bad Boys, Sad Girls",../lyrics/tatayoung/badboyssadgirls.html,I Believe,2004,"YOUNG, TATA"
Sorry Anyway,../lyrics/tatayoung/sorryanyway.html,I Believe,2004,"YOUNG, TATA"
Crush On You,../lyrics/tatayoung/crushonyou.html,I Believe,2004,"YOUNG, TATA"
My World's Spinning,../lyrics/tatayoung/myworldsspinning.html,I Believe,2004,"YOUNG, TATA"
I Want What I Want,../lyrics/tatayoung/iwantwhatiwant.html,I Believe,2004,"YOUNG, TATA"
,,I Believe,2004,"YOUNG, TATA"
El Nin-Yo!,../lyrics/tatayoung/elninyo.html,Temperature Rising,2006,"YOUNG, TATA"
Back Out Of This,../lyrics/tatayoung/backoutofthis.html,Temperature Rising,2006,"YOUNG, TATA"
I Want Some Of That,../lyrics/tatayoung/iwantsomeofthat.html,Temperature Rising,2006,"YOUNG, TATA"
Come Rain Come Shine,../lyrics/tatayoung/comeraincomeshine.html,Temperature Rising,2006,"YOUNG, TATA"
Uh Oh,../lyrics/tatayoung/uhoh.html,Temperature Rising,2006,"YOUNG, TATA"
Betcha Never,../lyrics/tatayoung/betchanever.html,Temperature Rising,2006,"YOUNG, TATA"
Zoom,../lyrics/tatayoung/zoom.html,Temperature Rising,2006,"YOUNG, TATA"
For You I Will,../lyrics/tatayoung/foryouiwill.html,Temperature Rising,2006,"YOUNG, TATA"
I Must Not Chase The Boys,../lyrics/tatayoung/imustnotchasetheboys.html,Temperature Rising,2006,"YOUNG, TATA"
I Guess I Never Knew My Baby,../lyrics/tatayoung/iguessineverknewmybaby.html,Temperature Rising,2006,"YOUNG, TATA"
Superhypnotic,../lyrics/tatayoung/superhypnotic.html,Temperature Rising,2006,"YOUNG, TATA"
Mila Mila,../lyrics/tatayoung/milamila.html,Temperature Rising,2006,"YOUNG, TATA"
,,Temperature Rising,2006,"YOUNG, TATA"
Ready For Love,../lyrics/tatayoung/readyforlove.html,Ready For Love,2009,"YOUNG, TATA"
Mission Is You,../lyrics/tatayoung/missionisyou.html,Ready For Love,2009,"YOUNG, TATA"
Burning Out,../lyrics/tatayoung/burningout.html,Ready For Love,2009,"YOUNG, TATA"
My Bloody Valentine,../lyrics/tatayoung/mybloodyvalentine.html,Ready For Love,2009,"YOUNG, TATA"
Ugly,../lyrics/tatayoung/ugly.html,Ready For Love,2009,"YOUNG, TATA"
Shine Like A Superstar,../lyrics/tatayoung/shinelikeasuperstar.html,Ready For Love,2009,"YOUNG, TATA"
Suffocate,../lyrics/tatayoung/suffocate.html,Ready For Love,2009,"YOUNG, TATA"
Words Are Not Enough,../lyrics/tatayoung/wordsarenotenough.html,Ready For Love,2009,"YOUNG, TATA"
Perfection,../lyrics/tatayoung/perfection.html,Ready For Love,2009,"YOUNG, TATA"
Boys Will Be Boys,../lyrics/tatayoung/boyswillbeboys.html,Ready For Love,2009,"YOUNG, TATA"
Love Is The Law,../lyrics/tatayoung/loveisthelaw.html,Ready For Love,2009,"YOUNG, TATA"
Exposed,../lyrics/tatayoung/exposed.html,Ready For Love,2009,"YOUNG, TATA"
