song,link,album,year,artist
Merry-Go-Round,../lyrics/yui/merrygoround.html,From Me To You,2006,YUI
Feel My Soul,../lyrics/yui/feelmysoul.html,From Me To You,2006,YUI
Ready To Love,../lyrics/yui/readytolove.html,From Me To You,2006,YUI
Swing Of Lie,../lyrics/yui/swingoflie.html,From Me To You,2006,YUI
LIFE,../lyrics/yui/life.html,From Me To You,2006,YUI
Blue Wind,../lyrics/yui/bluewind.html,From Me To You,2006,YUI
I Can't Say,../lyrics/yui/icantsay.html,From Me To You,2006,YUI
Simply White,../lyrics/yui/simplywhite.html,From Me To You,2006,YUI
Just My Way,../lyrics/yui/justmyway.html,From Me To You,2006,YUI
Tomorrow's Way,../lyrics/yui/tomorrowsway.html,From Me To You,2006,YUI
I Know,../lyrics/yui/iknow.html,From Me To You,2006,YUI
TOKYO,../lyrics/yui/tokyo.html,From Me To You,2006,YUI
Spiral & Escape,../lyrics/yui/spiralescape.html,From Me To You,2006,YUI
,,From Me To You,2006,YUI
How Crazy,../lyrics/yui/howcrazy.html,Can't Buy My Love,2007,YUI
Rolling Star,../lyrics/yui/rollingstar.html,Can't Buy My Love,2007,YUI
It's All Right,../lyrics/yui/itsallright.html,Can't Buy My Love,2007,YUI
I Remember You,../lyrics/yui/irememberyou.html,Can't Buy My Love,2007,YUI
RUIDO,../lyrics/yui/ruido.html,Can't Buy My Love,2007,YUI
CHE.R.RY,../lyrics/yui/cherry.html,Can't Buy My Love,2007,YUI
Thank You My Teens,../lyrics/yui/thankyoumyteens.html,Can't Buy My Love,2007,YUI
Umbrella,../lyrics/yui/umbrella.html,Can't Buy My Love,2007,YUI
Highway Chance,../lyrics/yui/highwaychance.html,Can't Buy My Love,2007,YUI
Happy Birthday To You You,../lyrics/yui/happybirthdaytoyouyou.html,Can't Buy My Love,2007,YUI
Winding Road,../lyrics/yui/windingroad.html,Can't Buy My Love,2007,YUI
Good-Bye Days,../lyrics/yui/goodbyedays.html,Can't Buy My Love,2007,YUI
Why?,../lyrics/yui/why.html,Can't Buy My Love,2007,YUI
,,Can't Buy My Love,2007,YUI
Laugh Away,../lyrics/yui/laughaway.html,I Loved Yesterday,2008,YUI
My Generation,../lyrics/yui/mygeneration.html,I Loved Yesterday,2008,YUI
Find Me,../lyrics/yui/findme.html,I Loved Yesterday,2008,YUI
No Way,../lyrics/yui/noway.html,I Loved Yesterday,2008,YUI
Namidairo,../lyrics/yui/namidairo.html,I Loved Yesterday,2008,YUI
Daydreamer,../lyrics/yui/daydreamer.html,I Loved Yesterday,2008,YUI
Love Is All,../lyrics/yui/loveisall.html,I Loved Yesterday,2008,YUI
I Will Love You,../lyrics/yui/iwillloveyou.html,I Loved Yesterday,2008,YUI
We Will Go,../lyrics/yui/wewillgo.html,I Loved Yesterday,2008,YUI
OH YEAH,../lyrics/yui/ohyeah.html,I Loved Yesterday,2008,YUI
My Friend,../lyrics/yui/myfriend.html,I Loved Yesterday,2008,YUI
LOVE & TRUTH,../lyrics/yui/lovetruth.html,I Loved Yesterday,2008,YUI
Am I Wrong?,../lyrics/yui/amiwrong.html,I Loved Yesterday,2008,YUI
,,I Loved Yesterday,2008,YUI
I'll Be,../lyrics/yui/illbe.html,My Short Stories,2008,YUI
HELP,../lyrics/yui/help.html,My Short Stories,2008,YUI
Last Train,../lyrics/yui/lasttrain.html,My Short Stories,2008,YUI
Winter Hot Music,../lyrics/yui/winterhotmusic.html,My Short Stories,2008,YUI
Jam,../lyrics/yui/jam.html,My Short Stories,2008,YUI
Skyline,../lyrics/yui/skyline.html,My Short Stories,2008,YUI
Free Bird,../lyrics/yui/freebird.html,My Short Stories,2008,YUI
I Wanna Be...,../lyrics/yui/iwannabe.html,My Short Stories,2008,YUI
Oh My God,../lyrics/yui/ohmygod.html,My Short Stories,2008,YUI
Cloudy,../lyrics/yui/cloudy.html,My Short Stories,2008,YUI
Driving Today,../lyrics/yui/drivingtoday.html,My Short Stories,2008,YUI
Understand,../lyrics/yui/understand.html,My Short Stories,2008,YUI
Crossroad,../lyrics/yui/crossroad.html,My Short Stories,2008,YUI
It's Happy Line,../lyrics/yui/itshappyline.html,My Short Stories,2008,YUI
Why Me?,../lyrics/yui/whyme.html,My Short Stories,2008,YUI
,,My Short Stories,2008,YUI
To Mother,../lyrics/yui/tomother.html,Holidays In The Sun,2010,YUI
Again,../lyrics/yui/again.html,Holidays In The Sun,2010,YUI
Parade,../lyrics/yui/parade.html,Holidays In The Sun,2010,YUI
Es.Car,../lyrics/yui/escar.html,Holidays In The Sun,2010,YUI
Shake My Heart,../lyrics/yui/shakemyheart.html,Holidays In The Sun,2010,YUI
GLORIA,../lyrics/yui/gloria.html,Holidays In The Sun,2010,YUI
I Do It,../lyrics/yui/idoit.html,Holidays In The Sun,2010,YUI
Please Stay With Me,../lyrics/yui/pleasestaywithme.html,Holidays In The Sun,2010,YUI
Summer Song,../lyrics/yui/summersong.html,Holidays In The Sun,2010,YUI
Cinnamon,../lyrics/yui/cinnamon.html,Holidays In The Sun,2010,YUI
Driving Happy Life,../lyrics/yui/drivinghappylife.html,Holidays In The Sun,2010,YUI
It's All Too Much,../lyrics/yui/itsalltoomuch.html,Holidays In The Sun,2010,YUI
Kiss Me,../lyrics/yui/kissme.html,Holidays In The Sun,2010,YUI
,,Holidays In The Sun,2010,YUI
HELLO,../lyrics/yui/hello.html,How Crazy Your Love,2011,YUI
Separation,../lyrics/yui/separation.html,How Crazy Your Love,2011,YUI
Get Back Home,../lyrics/yui/getbackhome.html,How Crazy Your Love,2011,YUI
Lock On,../lyrics/yui/lockon.html,How Crazy Your Love,2011,YUI
U-niform,../lyrics/yui/uniform.html,How Crazy Your Love,2011,YUI
Cooking,../lyrics/yui/cooking.html,How Crazy Your Love,2011,YUI
Rain,../lyrics/yui/rain.html,How Crazy Your Love,2011,YUI
Good Night,../lyrics/yui/goodnight.html,How Crazy Your Love,2011,YUI
YOU,../lyrics/yui/you.html,How Crazy Your Love,2011,YUI
It's My Life,../lyrics/yui/itsmylife.html,How Crazy Your Love,2011,YUI
No Reason,../lyrics/yui/noreason.html,How Crazy Your Love,2011,YUI
Nobody Knows,../lyrics/yui/nobodyknows.html,How Crazy Your Love,2011,YUI
Green A.Live,../lyrics/yui/greenalive.html,How Crazy Your Love,2011,YUI
Why,../lyrics/yui/why.html,,,YUI
