song,link,album,year,artist
Hourglass,../lyrics/zedd/hourglass.html,Clarity,2012,ZEDD
Shave It Up,../lyrics/zedd/shaveitup.html,Clarity,2012,ZEDD
Spectrum,../lyrics/zedd/spectrum.html,Clarity,2012,ZEDD
Lost At Sea,../lyrics/zedd/lostatsea.html,Clarity,2012,ZEDD
Clarity,../lyrics/zedd/clarity.html,Clarity,2012,ZEDD
Fall Into The Sky,../lyrics/zedd/fallintothesky.html,Clarity,2012,ZEDD
Follow You Down,../lyrics/zedd/followyoudown.html,Clarity,2012,ZEDD
Stay The Night,../lyrics/zedd/staythenight.html,Clarity,2012,ZEDD
Push Play,../lyrics/zedd/pushplay.html,Clarity,2012,ZEDD
Alive (Zedd Remix),../lyrics/zedd/alivezeddremix.html,Clarity,2012,ZEDD
Breakn' A Sweat (Zedd Remix),../lyrics/zedd/breaknasweatzeddremix.html,Clarity,2012,ZEDD
,,Clarity,2012,ZEDD
Addicted To A Memory,../lyrics/zedd/addictedtoamemory.html,True Colors,2015,ZEDD
I Want You To Know,../lyrics/zedd/iwantyoutoknow.html,True Colors,2015,ZEDD
Beautiful Now,../lyrics/zedd/beautifulnow.html,True Colors,2015,ZEDD
Transmission,../lyrics/zedd/transmission.html,True Colors,2015,ZEDD
Done With Love,../lyrics/zedd/donewithlove.html,True Colors,2015,ZEDD
True Colors,../lyrics/zedd/truecolors.html,True Colors,2015,ZEDD
Straight Into The Fire,../lyrics/zedd/straightintothefire.html,True Colors,2015,ZEDD
Papercut,../lyrics/zedd/papercut.html,True Colors,2015,ZEDD
Bumble Bee,../lyrics/zedd/bumblebee.html,True Colors,2015,ZEDD
Daisy,../lyrics/zedd/daisy.html,True Colors,2015,ZEDD
Illusion,../lyrics/zedd/illusion.html,True Colors,2015,ZEDD
Candyman,../lyrics/zedd/candyman.html,,,ZEDD
Find You,../lyrics/zedd/findyou.html,,,ZEDD
Human,http://www.azlyrics.com/lyrics/nickyromero/human.html,,,ZEDD
Ignite,../lyrics/zedd/ignite.html,,,ZEDD
Slam The Door,../lyrics/zedd/slamthedoor.html,,,ZEDD
Stars Come Out,../lyrics/zedd/starscomeout.html,,,ZEDD
Stay,../lyrics/zedd/stay.html,,,ZEDD
True Colors,../lyrics/zedd/truecolors486307.html,,,ZEDD
