song,link,album,year,artist
Believe,../lyrics/zoegirl/believe.html,ZOEgirl,2000,ZOEGIRL
Anything Is Possible,../lyrics/zoegirl/anythingispossible.html,ZOEgirl,2000,ZOEGIRL
Suddenly,../lyrics/zoegirl/suddenly.html,ZOEgirl,2000,ZOEGIRL
Give Me One Reason,../lyrics/zoegirl/givemeonereason.html,ZOEgirl,2000,ZOEGIRL
Living For You,../lyrics/zoegirl/livingforyou.html,ZOEgirl,2000,ZOEGIRL
No You,../lyrics/zoegirl/noyou.html,ZOEgirl,2000,ZOEGIRL
Little Did I Know,../lyrics/zoegirl/littledidiknow.html,ZOEgirl,2000,ZOEGIRL
Stop Right There,../lyrics/zoegirl/stoprightthere.html,ZOEgirl,2000,ZOEGIRL
Upside Down,../lyrics/zoegirl/upsidedown.html,ZOEgirl,2000,ZOEGIRL
Live Life,../lyrics/zoegirl/livelife.html,ZOEgirl,2000,ZOEGIRL
Constantly,../lyrics/zoegirl/constantly.html,ZOEgirl,2000,ZOEGIRL
,,ZOEgirl,2000,ZOEGIRL
Waiting,../lyrics/zoegirl/waiting.html,Life,2001,ZOEGIRL
Dismissed,../lyrics/zoegirl/dismissed.html,Life,2001,ZOEGIRL
Are You Sure About That?,../lyrics/zoegirl/areyousureaboutthat.html,Life,2001,ZOEGIRL
Ordinary Day,../lyrics/zoegirl/ordinaryday.html,Life,2001,ZOEGIRL
With All My Heart,../lyrics/zoegirl/withallmyheart.html,Life,2001,ZOEGIRL
Save Myself,../lyrics/zoegirl/savemyself.html,Life,2001,ZOEGIRL
Forever 17,../lyrics/zoegirl/forever17.html,Life,2001,ZOEGIRL
Nick Of Time,../lyrics/zoegirl/nickoftime.html,Life,2001,ZOEGIRL
Here & Now,../lyrics/zoegirl/herenow.html,Life,2001,ZOEGIRL
Plain,../lyrics/zoegirl/plain.html,Life,2001,ZOEGIRL
Even If,../lyrics/zoegirl/evenif.html,Life,2001,ZOEGIRL
,,Life,2001,ZOEGIRL
Beautiful Name,../lyrics/zoegirl/beautifulname.html,Different Kind Of Free,2003,ZOEGIRL
You Get Me,../lyrics/zoegirl/yougetme.html,Different Kind Of Free,2003,ZOEGIRL
Inside Out,../lyrics/zoegirl/insideout.html,Different Kind Of Free,2003,ZOEGIRL
Love Me For Me,../lyrics/zoegirl/lovemeforme.html,Different Kind Of Free,2003,ZOEGIRL
Unbroken,../lyrics/zoegirl/unbroken.html,Different Kind Of Free,2003,ZOEGIRL
Wait,../lyrics/zoegirl/wait.html,Different Kind Of Free,2003,ZOEGIRL
Feel Alright,../lyrics/zoegirl/feelalright.html,Different Kind Of Free,2003,ZOEGIRL
She,../lyrics/zoegirl/she.html,Different Kind Of Free,2003,ZOEGIRL
Contagious,../lyrics/zoegirl/contagious.html,Different Kind Of Free,2003,ZOEGIRL
Different Kind Of Free,../lyrics/zoegirl/differentkindoffree.html,Different Kind Of Free,2003,ZOEGIRL
Life To Me,../lyrics/zoegirl/lifetome.html,Different Kind Of Free,2003,ZOEGIRL
,,Different Kind Of Free,2003,ZOEGIRL
Reason To Live,../lyrics/zoegirl/reasontolive.html,Room To Breathe,2005,ZOEGIRL
Dead Serious,../lyrics/zoegirl/deadserious.html,Room To Breathe,2005,ZOEGIRL
About You,../lyrics/zoegirl/aboutyou.html,Room To Breathe,2005,ZOEGIRL
Scream,../lyrics/zoegirl/scream.html,Room To Breathe,2005,ZOEGIRL
Forevermore,../lyrics/zoegirl/forevermore.html,Room To Breathe,2005,ZOEGIRL
The Way You Love Me,../lyrics/zoegirl/thewayyouloveme.html,Room To Breathe,2005,ZOEGIRL
Let It Out,../lyrics/zoegirl/letitout.html,Room To Breathe,2005,ZOEGIRL
Good Girl,../lyrics/zoegirl/goodgirl.html,Room To Breathe,2005,ZOEGIRL
Not The One,../lyrics/zoegirl/nottheone.html,Room To Breathe,2005,ZOEGIRL
Skin Deep,../lyrics/zoegirl/skindeep.html,Room To Breathe,2005,ZOEGIRL
Safe,../lyrics/zoegirl/safe.html,Room To Breathe,2005,ZOEGIRL
