song,link,album,year,artist
What About Me,../lyrics/annemurray/whataboutme.html,What About Me,1968,a_annemurray.html
Both Sides Now,../lyrics/annemurray/bothsidesnow.html,What About Me,1968,a_annemurray.html
Paths Of Victory,../lyrics/annemurray/pathsofvictory.html,What About Me,1968,a_annemurray.html
There Goes My Everything,../lyrics/annemurray/theregoesmyeverything.html,What About Me,1968,a_annemurray.html
Last Thing On My Mind,../lyrics/annemurray/lastthingonmymind.html,What About Me,1968,a_annemurray.html
All The Time,../lyrics/annemurray/allthetime.html,What About Me,1968,a_annemurray.html
,,What About Me,1968,a_annemurray.html
Bidin' My Time,../lyrics/annemurray/bidinmytime.html,This Way Is My Way,1969,a_annemurray.html
I Wonder How The Old Folks Are At Home,../lyrics/annemurray/iwonderhowtheoldfolksareathome.html,This Way Is My Way,1969,a_annemurray.html
Thirsty Boots,../lyrics/annemurray/thirstyboots.html,This Way Is My Way,1969,a_annemurray.html
Snowbird,../lyrics/annemurray/snowbird.html,This Way Is My Way,1969,a_annemurray.html
Hard As I Try,../lyrics/annemurray/hardasitry.html,This Way Is My Way,1969,a_annemurray.html
I'll Be Your Baby Tonight,../lyrics/annemurray/illbeyourbabytonight.html,This Way Is My Way,1969,a_annemurray.html
Nice To Be With You,../lyrics/annemurray/nicetobewithyou.html,This Way Is My Way,1969,a_annemurray.html
,,This Way Is My Way,1969,a_annemurray.html
O Come All Ye Faithful,../lyrics/annemurray/ocomeallyefaithful.html,Anne Murray's Christmas,1970,a_annemurray.html
White Christmas,../lyrics/annemurray/whitechristmas.html,Anne Murray's Christmas,1970,a_annemurray.html
The Christmas Song,../lyrics/annemurray/thechristmassong.html,Anne Murray's Christmas,1970,a_annemurray.html
Do You Hear What I Hear?,../lyrics/annemurray/doyouhearwhatihear.html,Anne Murray's Christmas,1970,a_annemurray.html
We Three Kings,../lyrics/annemurray/wethreekings.html,Anne Murray's Christmas,1970,a_annemurray.html
Coventry Carol,../lyrics/annemurray/coventrycarol.html,Anne Murray's Christmas,1970,a_annemurray.html
It Came Upon A Midnight Clear,../lyrics/annemurray/itcameuponamidnightclear.html,Anne Murray's Christmas,1970,a_annemurray.html
Christmas In Killarney,../lyrics/annemurray/christmasinkillarney.html,Anne Murray's Christmas,1970,a_annemurray.html
Born In Bethlehem,../lyrics/annemurray/borninbethlehem.html,Anne Murray's Christmas,1970,a_annemurray.html
No Room At The Inn,../lyrics/annemurray/noroomattheinn.html,Anne Murray's Christmas,1970,a_annemurray.html
Sweet Little Jesus Boy,../lyrics/annemurray/sweetlittlejesusboy.html,Anne Murray's Christmas,1970,a_annemurray.html
Mary's Little Boy Child,../lyrics/annemurray/maryslittleboychild.html,Anne Murray's Christmas,1970,a_annemurray.html
,,Anne Murray's Christmas,1970,a_annemurray.html
Fire And Rain,../lyrics/annemurray/fireandrain.html,"Honey, Wheat & Laughter",1970,a_annemurray.html
Break My Mind,../lyrics/annemurray/breakmymind.html,"Honey, Wheat & Laughter",1970,a_annemurray.html
Call,../lyrics/annemurray/call.html,"Honey, Wheat & Laughter",1970,a_annemurray.html
Put Your Hand In The Hand,../lyrics/annemurray/putyourhandinthehand.html,"Honey, Wheat & Laughter",1970,a_annemurray.html
Get Together,../lyrics/annemurray/gettogether.html,"Honey, Wheat & Laughter",1970,a_annemurray.html
Night Owl,../lyrics/annemurray/nightowl.html,"Honey, Wheat & Laughter",1970,a_annemurray.html
,,"Honey, Wheat & Laughter",1970,a_annemurray.html
You're Easy To Love,../lyrics/annemurray/youreeasytolove.html,,,a_annemurray.html
Medley: I Said A Little Prayer / By The Time I Get To Phoenix,../lyrics/annemurray/medleyisaidalittleprayerbythetimeigettophoenix.html,,,a_annemurray.html
United We Stand,../lyrics/annemurray/unitedwestand.html,,,a_annemurray.html
Love Story (You And Me),../lyrics/annemurray/lovestoryyouandme.html,,,a_annemurray.html
Ease Your Pain,../lyrics/annemurray/easeyourpain.html,,,a_annemurray.html
Let Me Be The One,../lyrics/annemurray/letmebetheone.html,,,a_annemurray.html
,,,,a_annemurray.html
It Takes Time,../lyrics/annemurray/ittakestime.html,"Straight, Clean And Simple",1971,a_annemurray.html
People's Park,../lyrics/annemurray/peoplespark.html,"Straight, Clean And Simple",1971,a_annemurray.html
One Day I Walk,../lyrics/annemurray/onedayiwalk.html,"Straight, Clean And Simple",1971,a_annemurray.html
Child Of Mine,../lyrics/annemurray/childofmine.html,"Straight, Clean And Simple",1971,a_annemurray.html
Wishing Smiles Made It All True,../lyrics/annemurray/wishingsmilesmadeitalltrue.html,"Straight, Clean And Simple",1971,a_annemurray.html
"Sing High, Sing Low",../lyrics/annemurray/singhighsinglow.html,"Straight, Clean And Simple",1971,a_annemurray.html
A Stranger In My Place,../lyrics/annemurray/astrangerinmyplace.html,"Straight, Clean And Simple",1971,a_annemurray.html
I'll Never Fall In Love Again,../lyrics/annemurray/illneverfallinloveagain.html,"Straight, Clean And Simple",1971,a_annemurray.html
,,"Straight, Clean And Simple",1971,a_annemurray.html
Talk It Over In The Morning,../lyrics/annemurray/talkitoverinthemorning.html,Talk It Over In The Morning,1971,a_annemurray.html
Most Of All,../lyrics/annemurray/mostofall.html,Talk It Over In The Morning,1971,a_annemurray.html
Let Me Be The One,../lyrics/annemurray/letmebetheone.html,Talk It Over In The Morning,1971,a_annemurray.html
Night Owl,../lyrics/annemurray/nightowl.html,Talk It Over In The Morning,1971,a_annemurray.html
Destiny,../lyrics/annemurray/destiny.html,Talk It Over In The Morning,1971,a_annemurray.html
I Know,../lyrics/annemurray/iknow.html,Talk It Over In The Morning,1971,a_annemurray.html
You've Got A Friend,../lyrics/annemurray/youvegotafriend.html,Talk It Over In The Morning,1971,a_annemurray.html
Cotton Jenny,../lyrics/annemurray/cottonjenny.html,Talk It Over In The Morning,1971,a_annemurray.html
,,Talk It Over In The Morning,1971,a_annemurray.html
Robbie's Song For Jesus,../lyrics/annemurray/robbiessongforjesus.html,Annie,1972,a_annemurray.html
Falling Into Rhyme,../lyrics/annemurray/fallingintorhyme.html,Annie,1972,a_annemurray.html
Drown Me,../lyrics/annemurray/drownme.html,Annie,1972,a_annemurray.html
Beautiful,../lyrics/annemurray/beautiful.html,Annie,1972,a_annemurray.html
,,Annie,1972,a_annemurray.html
