song,link,album,year,artist
Si Te Vas,../lyrics/joeymontana/sitevas.html,Sin Cadenas,2007,j_joeymontana.html
Que Dios Te Castigue,../lyrics/joeymontana/quediostecastigue.html,Sin Cadenas,2007,j_joeymontana.html
,,Sin Cadenas,2007,j_joeymontana.html
Tus Ojos No Me Ven,../lyrics/joeymontana/tusojosnomeven.html,Flow Con Clase,2010,j_joeymontana.html
Ãnico Amor,../lyrics/joeymontana/nicoamor.html,Flow Con Clase,2010,j_joeymontana.html
No Lo Vuelvo Hacer,../lyrics/joeymontana/nolovuelvohacer.html,Flow Con Clase,2010,j_joeymontana.html
La MelodÃ­a,../lyrics/joeymontana/lameloda.html,Flow Con Clase,2010,j_joeymontana.html
Como Hacer?,../lyrics/joeymontana/comohacer.html,Flow Con Clase,2010,j_joeymontana.html
Sin Ti,../lyrics/joeymontana/sinti.html,Flow Con Clase,2010,j_joeymontana.html
CorazÃ³n FrÃ­o,../lyrics/joeymontana/coraznfro.html,Flow Con Clase,2010,j_joeymontana.html
Si Muriera MaÃ±ana,../lyrics/joeymontana/simurieramaana.html,Flow Con Clase,2010,j_joeymontana.html
Aun AsÃ­,../lyrics/joeymontana/aunas.html,Flow Con Clase,2010,j_joeymontana.html
Con Un Beso,../lyrics/joeymontana/conunbeso.html,Flow Con Clase,2010,j_joeymontana.html
Ni Una LÃ¡grima,../lyrics/joeymontana/niunalgrima.html,Flow Con Clase,2010,j_joeymontana.html
Ella Va Caer,../lyrics/joeymontana/ellavacaer.html,Flow Con Clase,2010,j_joeymontana.html
Mi Ex,../lyrics/joeymontana/miex.html,Flow Con Clase,2010,j_joeymontana.html
Freaky,../lyrics/joeymontana/freaky.html,Flow Con Clase,2010,j_joeymontana.html
,,Flow Con Clase,2010,j_joeymontana.html
Ãnico,../lyrics/joeymontana/nico.html,Ãnico,2014,j_joeymontana.html
Tequila,../lyrics/joeymontana/tequila.html,Ãnico,2014,j_joeymontana.html
Mi Esposa,../lyrics/joeymontana/miesposa.html,Ãnico,2014,j_joeymontana.html
Porque Te Amo,../lyrics/joeymontana/porqueteamo.html,Ãnico,2014,j_joeymontana.html
Una En Un Millon,../lyrics/joeymontana/unaenunmillon.html,Ãnico,2014,j_joeymontana.html
QuinceaÃ±era (Fiesta Mix),../lyrics/joeymontana/quinceaerafiestamix.html,Ãnico,2014,j_joeymontana.html
Amor Del Bueno,../lyrics/joeymontana/amordelbueno.html,Ãnico,2014,j_joeymontana.html
Fanatica,../lyrics/joeymontana/fanatica.html,Ãnico,2014,j_joeymontana.html
Es Mejor Terminar,../lyrics/joeymontana/esmejorterminar.html,Ãnico,2014,j_joeymontana.html
,,Ãnico,2014,j_joeymontana.html
Picky,../lyrics/joeymontana/picky.html,Picky Back To The Roots,2016,j_joeymontana.html
La Clave,../lyrics/joeymontana/laclave.html,Picky Back To The Roots,2016,j_joeymontana.html
Hola,../lyrics/joeymontana/hola.html,Picky Back To The Roots,2016,j_joeymontana.html
La Promesa,../lyrics/joeymontana/lapromesa.html,Picky Back To The Roots,2016,j_joeymontana.html
Nena,../lyrics/joeymontana/nena.html,Picky Back To The Roots,2016,j_joeymontana.html
Moribundo,../lyrics/joeymontana/moribundo.html,Picky Back To The Roots,2016,j_joeymontana.html
Picky (Remix),../lyrics/joeymontana/pickyremix.html,Picky Back To The Roots,2016,j_joeymontana.html
Lo Ajeno,../lyrics/joeymontana/loajeno.html,,,j_joeymontana.html
Oye Mi Amor,../lyrics/joeymontana/oyemiamor.html,,,j_joeymontana.html
