song,link,album,year,artist
Drive Me Crazy,../lyrics/kipmoore/drivemecrazy.html,Up All Night,2012,k_kipmoore.html
Beer Money,../lyrics/kipmoore/beermoney.html,Up All Night,2012,k_kipmoore.html
Somethin' 'Bout A Truck,../lyrics/kipmoore/somethinboutatruck.html,Up All Night,2012,k_kipmoore.html
Everything But You,../lyrics/kipmoore/everythingbutyou.html,Up All Night,2012,k_kipmoore.html
Crazy One More Time,../lyrics/kipmoore/crazyonemoretime.html,Up All Night,2012,k_kipmoore.html
Where You Are Tonight,../lyrics/kipmoore/whereyouaretonight.html,Up All Night,2012,k_kipmoore.html
Hey Pretty Girl,../lyrics/kipmoore/heyprettygirl.html,Up All Night,2012,k_kipmoore.html
Reckless (Still Growin' Up),../lyrics/kipmoore/recklessstillgrowinup.html,Up All Night,2012,k_kipmoore.html
Up All Night,../lyrics/kipmoore/upallnight.html,Up All Night,2012,k_kipmoore.html
Fly Again,../lyrics/kipmoore/flyagain.html,Up All Night,2012,k_kipmoore.html
Faith When I Fall,../lyrics/kipmoore/faithwhenifall.html,Up All Night,2012,k_kipmoore.html
Mary Was The Marrying Kind,../lyrics/kipmoore/marywasthemarryingkind.html,Up All Night,2012,k_kipmoore.html
Motorcycle,../lyrics/kipmoore/motorcycle.html,Up All Night,2012,k_kipmoore.html
,,Up All Night,2012,k_kipmoore.html
Wild Ones,../lyrics/kipmoore/wildones.html,Wild Ones,2015,k_kipmoore.html
Come And Get It,../lyrics/kipmoore/comeandgetit.html,Wild Ones,2015,k_kipmoore.html
Girl Of Summer,../lyrics/kipmoore/girlofsummer.html,Wild Ones,2015,k_kipmoore.html
Magic,../lyrics/kipmoore/magic.html,Wild Ones,2015,k_kipmoore.html
That Was Us,../lyrics/kipmoore/thatwasus.html,Wild Ones,2015,k_kipmoore.html
Lipstick,../lyrics/kipmoore/lipstick.html,Wild Ones,2015,k_kipmoore.html
What Ya Got On Tonight,../lyrics/kipmoore/whatyagotontonight.html,Wild Ones,2015,k_kipmoore.html
Heart's Desire,../lyrics/kipmoore/heartsdesire.html,Wild Ones,2015,k_kipmoore.html
Complicated,../lyrics/kipmoore/complicated.html,Wild Ones,2015,k_kipmoore.html
I'm To Blame,../lyrics/kipmoore/imtoblame.html,Wild Ones,2015,k_kipmoore.html
That's Alright With Me,../lyrics/kipmoore/thatsalrightwithme.html,Wild Ones,2015,k_kipmoore.html
Running For You,../lyrics/kipmoore/runningforyou.html,Wild Ones,2015,k_kipmoore.html
Comeback Kid,../lyrics/kipmoore/comebackkid.html,Wild Ones,2015,k_kipmoore.html
What I Do,../lyrics/kipmoore/whatido.html,Wild Ones,2015,k_kipmoore.html
Backseat,../lyrics/kipmoore/backseat.html,Wild Ones,2015,k_kipmoore.html
Burn The Whole World Down,../lyrics/kipmoore/burnthewholeworlddown.html,Wild Ones,2015,k_kipmoore.html
,,Wild Ones,2015,k_kipmoore.html
All Time Low,../lyrics/kipmoore/alltimelow.html,Underground,2016,k_kipmoore.html
My Kind,../lyrics/kipmoore/mykind.html,Underground,2016,k_kipmoore.html
Midnight Slow Dance (Live),../lyrics/kipmoore/midnightslowdancelive.html,Underground,2016,k_kipmoore.html
Separate Ways (Live),../lyrics/kipmoore/separatewayslive.html,Underground,2016,k_kipmoore.html
My Baby's Gone (Live),../lyrics/kipmoore/mybabysgonelive.html,Underground,2016,k_kipmoore.html
Break My  Heart,../lyrics/kipmoore/breakmyheart.html,,,k_kipmoore.html
Dirt Road,../lyrics/kipmoore/dirtroad.html,,,k_kipmoore.html
Hang A While,../lyrics/kipmoore/hangawhile.html,,,k_kipmoore.html
Lead Me,../lyrics/kipmoore/leadme.html,,,k_kipmoore.html
More Girls Like You,../lyrics/kipmoore/moregirlslikeyou.html,,,k_kipmoore.html
Unless Heaven's Got A Dirt Road,../lyrics/kipmoore/unlessheavensgotadirtroad.html,,,k_kipmoore.html
Young Love,../lyrics/kipmoore/younglove.html,,,k_kipmoore.html
