song,link,album,year,artist
Thank You,../lyrics/mkto/thankyou.html,MKTO,2014,m_mkto.html
Classic,../lyrics/mkto/classic.html,MKTO,2014,m_mkto.html
God Only Knows,../lyrics/mkto/godonlyknows.html,MKTO,2014,m_mkto.html
American Dream,../lyrics/mkto/americandream.html,MKTO,2014,m_mkto.html
Could Be Me,../lyrics/mkto/couldbeme.html,MKTO,2014,m_mkto.html
Forever Until Tomorrow,../lyrics/mkto/foreveruntiltomorrow.html,MKTO,2014,m_mkto.html
Wasted,../lyrics/mkto/wasted.html,MKTO,2014,m_mkto.html
Heartbreak Holiday,../lyrics/mkto/heartbreakholiday.html,MKTO,2014,m_mkto.html
Nowhere,../lyrics/mkto/nowhere.html,MKTO,2014,m_mkto.html
No More Second Chances,../lyrics/mkto/nomoresecondchances.html,MKTO,2014,m_mkto.html
Goodbye Song,../lyrics/mkto/goodbyesong.html,MKTO,2014,m_mkto.html
,,MKTO,2014,m_mkto.html
Bad Girls,../lyrics/mkto/badgirls.html,Bad Girls,2015,m_mkto.html
Afraid Of The Dark,../lyrics/mkto/afraidofthedark.html,Bad Girls,2015,m_mkto.html
Monaco,../lyrics/mkto/monaco.html,Bad Girls,2015,m_mkto.html
Just Imagine It,../lyrics/mkto/justimagineit.html,Bad Girls,2015,m_mkto.html
Hands Off My Heart / Places You Go,../lyrics/mkto/handsoffmyheartplacesyougo.html,,,m_mkto.html
Superstitious,../lyrics/mkto/superstitious.html,,,m_mkto.html
