song,link,album,year,artist
Sick Inside,../lyrics/moderndayzero/sickinside.html,Coming Up For Air,2004,m_moderndayzero.html
Better Side Of Me,../lyrics/moderndayzero/bettersideofme.html,Coming Up For Air,2004,m_moderndayzero.html
Smother Me,../lyrics/moderndayzero/smotherme.html,Coming Up For Air,2004,m_moderndayzero.html
Broken,../lyrics/moderndayzero/broken.html,Coming Up For Air,2004,m_moderndayzero.html
Way Out,../lyrics/moderndayzero/wayout.html,Coming Up For Air,2004,m_moderndayzero.html
Nothing's Ever Fine,../lyrics/moderndayzero/nothingseverfine.html,Coming Up For Air,2004,m_moderndayzero.html
When You Lie,../lyrics/moderndayzero/whenyoulie.html,Coming Up For Air,2004,m_moderndayzero.html
Down,../lyrics/moderndayzero/down.html,Coming Up For Air,2004,m_moderndayzero.html
It Don't Matter,../lyrics/moderndayzero/itdontmatter.html,Coming Up For Air,2004,m_moderndayzero.html
Clear Day,../lyrics/moderndayzero/clearday.html,Coming Up For Air,2004,m_moderndayzero.html
Watch Me Drown,../lyrics/moderndayzero/watchmedrown.html,Coming Up For Air,2004,m_moderndayzero.html
Concentrate,../lyrics/moderndayzero/concentrate.html,Coming Up For Air,2004,m_moderndayzero.html
,,Coming Up For Air,2004,m_moderndayzero.html
Superhuman,../lyrics/moderndayzero/superhuman.html,The Wait,2007,m_moderndayzero.html
Spit You Out,../lyrics/moderndayzero/spityouout.html,The Wait,2007,m_moderndayzero.html
In My Life,../lyrics/moderndayzero/inmylife.html,The Wait,2007,m_moderndayzero.html
Everything,../lyrics/moderndayzero/everything.html,The Wait,2007,m_moderndayzero.html
Disappointed,../lyrics/moderndayzero/disappointed.html,The Wait,2007,m_moderndayzero.html
Show Me,../lyrics/moderndayzero/showme.html,The Wait,2007,m_moderndayzero.html
Take,../lyrics/moderndayzero/take.html,The Wait,2007,m_moderndayzero.html
Piss It All Away,../lyrics/moderndayzero/pissitallaway.html,The Wait,2007,m_moderndayzero.html
As Soon As You Let Me,../lyrics/moderndayzero/assoonasyouletme.html,The Wait,2007,m_moderndayzero.html
