song,link,album,year,artist
Shame,../lyrics/monrose/shame.html,Temptation,2006,m_monrose.html
Even Heaven Cries,../lyrics/monrose/evenheavencries.html,Temptation,2006,m_monrose.html
Oh La La,../lyrics/monrose/ohlala.html,Temptation,2006,m_monrose.html
No,../lyrics/monrose/no.html,Temptation,2006,m_monrose.html
I'm Gonna Freak Ya,../lyrics/monrose/imgonnafreakya.html,Temptation,2006,m_monrose.html
Love Don't Come Easy,../lyrics/monrose/lovedontcomeeasy.html,Temptation,2006,m_monrose.html
2 Of A Kind,../lyrics/monrose/2ofakind.html,Temptation,2006,m_monrose.html
Your Love Is Right Over Me,../lyrics/monrose/yourloveisrightoverme.html,Temptation,2006,m_monrose.html
Work It,../lyrics/monrose/workit.html,Temptation,2006,m_monrose.html
Do That Dance,../lyrics/monrose/dothatdance.html,Temptation,2006,m_monrose.html
Live Life Get By,../lyrics/monrose/livelifegetby.html,Temptation,2006,m_monrose.html
Push Up On Me,../lyrics/monrose/pushuponme.html,Temptation,2006,m_monrose.html
,,Temptation,2006,m_monrose.html
Dangerous,../lyrics/monrose/dangerous.html,Strictly Physical,2007,m_monrose.html
Hot Summer,../lyrics/monrose/hotsummer.html,Strictly Physical,2007,m_monrose.html
Strictly Physical,../lyrics/monrose/strictlyphysical.html,Strictly Physical,2007,m_monrose.html
Rebound,../lyrics/monrose/rebound.html,Strictly Physical,2007,m_monrose.html
What You Don't Know,../lyrics/monrose/whatyoudontknow.html,Strictly Physical,2007,m_monrose.html
Leading Me On,../lyrics/monrose/leadingmeon.html,Strictly Physical,2007,m_monrose.html
Golden,../lyrics/monrose/golden.html,Strictly Physical,2007,m_monrose.html
Sooner Or Later,../lyrics/monrose/soonerorlater.html,Strictly Physical,2007,m_monrose.html
Just Like That,../lyrics/monrose/justlikethat.html,Strictly Physical,2007,m_monrose.html
Yesterday's Gone,../lyrics/monrose/yesterdaysgone.html,Strictly Physical,2007,m_monrose.html
Burning,../lyrics/monrose/burning.html,Strictly Physical,2007,m_monrose.html
Monrose Theme,../lyrics/monrose/monrosetheme.html,Strictly Physical,2007,m_monrose.html
Everybody Makes Mistakes,../lyrics/monrose/everybodymakesmistakes.html,Strictly Physical,2007,m_monrose.html
Say Yes,../lyrics/monrose/sayyes.html,Strictly Physical,2007,m_monrose.html
,,Strictly Physical,2007,m_monrose.html
Strike The Match,../lyrics/monrose/strikethematch.html,I Am,2008,m_monrose.html
A Love Bizarre,../lyrics/monrose/alovebizarre.html,I Am,2008,m_monrose.html
Certified,../lyrics/monrose/certified.html,I Am,2008,m_monrose.html
Why Not Us,../lyrics/monrose/whynotus.html,I Am,2008,m_monrose.html
Going Out Tonight,../lyrics/monrose/goingouttonight.html,I Am,2008,m_monrose.html
You Can Look,../lyrics/monrose/youcanlook.html,I Am,2008,m_monrose.html
Tip Toe,../lyrics/monrose/tiptoe.html,I Am,2008,m_monrose.html
Teach Me How To Jump,../lyrics/monrose/teachmehowtojump.html,I Am,2008,m_monrose.html
Stolen,../lyrics/monrose/stolen.html,I Am,2008,m_monrose.html
Electricity,../lyrics/monrose/electricity.html,I Am,2008,m_monrose.html
Hit 'N' Run,../lyrics/monrose/hitnrun.html,I Am,2008,m_monrose.html
No Never,../lyrics/monrose/nonever.html,I Am,2008,m_monrose.html
Stained,../lyrics/monrose/stained.html,I Am,2008,m_monrose.html
What They Want,../lyrics/monrose/whattheywant.html,I Am,2008,m_monrose.html
Don't Touch The Fader,../lyrics/monrose/donttouchthefader.html,I Am,2008,m_monrose.html
Step Aside,../lyrics/monrose/stepaside.html,I Am,2008,m_monrose.html
,,I Am,2008,m_monrose.html
This Is Me,../lyrics/monrose/thisisme.html,Ladylike,2010,m_monrose.html
Superstar DJ,../lyrics/monrose/superstardj.html,Ladylike,2010,m_monrose.html
Like A Lady,../lyrics/monrose/likealady.html,Ladylike,2010,m_monrose.html
Don't Take It Personal,../lyrics/monrose/donttakeitpersonal.html,Ladylike,2010,m_monrose.html
Doing Fine,../lyrics/monrose/doingfine.html,Ladylike,2010,m_monrose.html
Definition Of A Woman,../lyrics/monrose/definitionofawoman.html,Ladylike,2010,m_monrose.html
Love Must Carry On,../lyrics/monrose/lovemustcarryon.html,Ladylike,2010,m_monrose.html
Breathe You In,../lyrics/monrose/breatheyouin.html,Ladylike,2010,m_monrose.html
All Or Nothing,../lyrics/monrose/allornothing.html,Ladylike,2010,m_monrose.html
No No No,../lyrics/monrose/nonono.html,Ladylike,2010,m_monrose.html
Catwalk V-O-G-U-E,../lyrics/monrose/catwalkvogue.html,Ladylike,2010,m_monrose.html
Mono,../lyrics/monrose/mono.html,Ladylike,2010,m_monrose.html
I Surrender,../lyrics/monrose/isurrender.html,Ladylike,2010,m_monrose.html
