song,link,album,year,artist
Wolfshade (A Werewolf Masquerade),../lyrics/moonspell/wolfshadeawerewolfmasquerade.html,Wolfheart,1995,m_moonspell.html
Love Crimes,../lyrics/moonspell/lovecrimes.html,Wolfheart,1995,m_moonspell.html
...Of Dream And Drama (Midnight Ride),../lyrics/moonspell/ofdreamanddramamidnightride.html,Wolfheart,1995,m_moonspell.html
Trebraruna,../lyrics/moonspell/trebraruna.html,Wolfheart,1995,m_moonspell.html
Vampiria,../lyrics/moonspell/vampiria.html,Wolfheart,1995,m_moonspell.html
An Erotic Alchemy,../lyrics/moonspell/aneroticalchemy.html,Wolfheart,1995,m_moonspell.html
Alma Mater,../lyrics/moonspell/almamater.html,Wolfheart,1995,m_moonspell.html
Ataegina,../lyrics/moonspell/ataegina.html,Wolfheart,1995,m_moonspell.html
,,Wolfheart,1995,m_moonspell.html
Opium,../lyrics/moonspell/opium.html,Irreligious,1996,m_moonspell.html
Awake!,../lyrics/moonspell/awake.html,Irreligious,1996,m_moonspell.html
For A Taste Of Eternity,../lyrics/moonspell/foratasteofeternity.html,Irreligious,1996,m_moonspell.html
Ruin & Misery,../lyrics/moonspell/ruinmisery.html,Irreligious,1996,m_moonspell.html
A Poisoned Gift,../lyrics/moonspell/apoisonedgift.html,Irreligious,1996,m_moonspell.html
Subversion,../lyrics/moonspell/subversion.html,Irreligious,1996,m_moonspell.html
Raven Claws,../lyrics/moonspell/ravenclaws.html,Irreligious,1996,m_moonspell.html
Mephisto,../lyrics/moonspell/mephisto.html,Irreligious,1996,m_moonspell.html
Herr Spiegelman,../lyrics/moonspell/herrspiegelman.html,Irreligious,1996,m_moonspell.html
Full Moon Madness,../lyrics/moonspell/fullmoonmadness.html,Irreligious,1996,m_moonspell.html
,,Irreligious,1996,m_moonspell.html
Slow Down!,../lyrics/moonspell/slowdown.html,Sin/Pecado,1998,m_moonspell.html
Handmade God,../lyrics/moonspell/handmadegod.html,Sin/Pecado,1998,m_moonspell.html
2econd Skin,../lyrics/moonspell/2econdskin.html,Sin/Pecado,1998,m_moonspell.html
Abysmo,../lyrics/moonspell/abysmo.html,Sin/Pecado,1998,m_moonspell.html
Flesh,../lyrics/moonspell/flesh.html,Sin/Pecado,1998,m_moonspell.html
Magdalene,../lyrics/moonspell/magdalene.html,Sin/Pecado,1998,m_moonspell.html
V.C. (Gloria Domini),../lyrics/moonspell/vcgloriadomini.html,Sin/Pecado,1998,m_moonspell.html
EuroticA,../lyrics/moonspell/eurotica.html,Sin/Pecado,1998,m_moonspell.html
Mute,../lyrics/moonspell/mute.html,Sin/Pecado,1998,m_moonspell.html
Dekadance,../lyrics/moonspell/dekadance.html,Sin/Pecado,1998,m_moonspell.html
Let The Children Cum To Me...,../lyrics/moonspell/letthechildrencumtome.html,Sin/Pecado,1998,m_moonspell.html
The Hanged Man,../lyrics/moonspell/thehangedman.html,Sin/Pecado,1998,m_moonspell.html
13!,../lyrics/moonspell/13.html,Sin/Pecado,1998,m_moonspell.html
,,Sin/Pecado,1998,m_moonspell.html
Soulsick,../lyrics/moonspell/soulsick.html,The Butterfly Effect,1999,m_moonspell.html
The Butterfly FX,../lyrics/moonspell/thebutterflyfx.html,The Butterfly Effect,1999,m_moonspell.html
Can't Bee,../lyrics/moonspell/cantbee.html,The Butterfly Effect,1999,m_moonspell.html
