song,link,album,year,artist
Thru Fade Away,../lyrics/motherlovebone/thrufadeaway.html,Shine,1989,m_motherlovebone.html
Mindshaker Meltdown,../lyrics/motherlovebone/mindshakermeltdown.html,Shine,1989,m_motherlovebone.html
Half Ass Monkey Boy,../lyrics/motherlovebone/halfassmonkeyboy.html,Shine,1989,m_motherlovebone.html
Chloe Dancer / Crown Of Thorns,../lyrics/motherlovebone/chloedancercrownofthorns.html,Shine,1989,m_motherlovebone.html
Capricorn Sister,../lyrics/motherlovebone/capricornsister485624.html,Shine,1989,m_motherlovebone.html
Zanzibar,../lyrics/motherlovebone/zanzibar.html,Shine,1989,m_motherlovebone.html
,,Shine,1989,m_motherlovebone.html
This Is Shangrila,../lyrics/motherlovebone/thisisshangrila.html,Apple,1990,m_motherlovebone.html
Stardog Champion,../lyrics/motherlovebone/stardogchampion.html,Apple,1990,m_motherlovebone.html
Holy Roller,../lyrics/motherlovebone/holyroller.html,Apple,1990,m_motherlovebone.html
Bone China,../lyrics/motherlovebone/bonechina.html,Apple,1990,m_motherlovebone.html
Come Bite The Apple,../lyrics/motherlovebone/comebitetheapple.html,Apple,1990,m_motherlovebone.html
Stargazer,../lyrics/motherlovebone/stargazer.html,Apple,1990,m_motherlovebone.html
Heartshine,../lyrics/motherlovebone/heartshine.html,Apple,1990,m_motherlovebone.html
Captain Hi-Top,../lyrics/motherlovebone/captainhitop.html,Apple,1990,m_motherlovebone.html
Man Of Golden Words,../lyrics/motherlovebone/manofgoldenwords.html,Apple,1990,m_motherlovebone.html
Capricorn Sister,../lyrics/motherlovebone/capricornsister.html,Apple,1990,m_motherlovebone.html
Gentle Groove,../lyrics/motherlovebone/gentlegroove.html,Apple,1990,m_motherlovebone.html
Mr. Danny Boy,../lyrics/motherlovebone/mrdannyboy.html,Apple,1990,m_motherlovebone.html
Crown Of Thorns,../lyrics/motherlovebone/crownofthorns.html,Apple,1990,m_motherlovebone.html
Lady Godiva Blues,../lyrics/motherlovebone/ladygodivablues.html,Apple,1990,m_motherlovebone.html
