song,link,album,year,artist
Promenade,../lyrics/motioncitysoundtrack/promenade.html,Promenade/Carolina,1999,m_motioncitysoundtrack.html
Carolina,../lyrics/motioncitysoundtrack/carolina.html,Promenade/Carolina,1999,m_motioncitysoundtrack.html
,,Promenade/Carolina,1999,m_motioncitysoundtrack.html
Cambridge,../lyrics/motioncitysoundtrack/cambridge.html,Kids For America,2000,m_motioncitysoundtrack.html
Bomb Pops,../lyrics/motioncitysoundtrack/bombpops.html,Kids For America,2000,m_motioncitysoundtrack.html
Intersection,../lyrics/motioncitysoundtrack/intersection.html,Kids For America,2000,m_motioncitysoundtrack.html
Sunday Warning,../lyrics/motioncitysoundtrack/sundaywarning.html,Kids For America,2000,m_motioncitysoundtrack.html
4th Of December,../lyrics/motioncitysoundtrack/4thofdecember.html,Kids For America,2000,m_motioncitysoundtrack.html
1000 Paper Cranes,../lyrics/motioncitysoundtrack/1000papercranes.html,Kids For America,2000,m_motioncitysoundtrack.html
,,Kids For America,2000,m_motioncitysoundtrack.html
Capital H,../lyrics/motioncitysoundtrack/capitalh.html,Back To The Beat,2000,m_motioncitysoundtrack.html
Throwdown,../lyrics/motioncitysoundtrack/throwdown.html,Back To The Beat,2000,m_motioncitysoundtrack.html
The Here Away,../lyrics/motioncitysoundtrack/thehereaway.html,Back To The Beat,2000,m_motioncitysoundtrack.html
Opening Night,../lyrics/motioncitysoundtrack/openingnight.html,Back To The Beat,2000,m_motioncitysoundtrack.html
Back To The Beat,../lyrics/motioncitysoundtrack/backtothebeat.html,Back To The Beat,2000,m_motioncitysoundtrack.html
,,Back To The Beat,2000,m_motioncitysoundtrack.html
Cambridge,../lyrics/motioncitysoundtrack/cambridge.html,I Am The Movie,2003,m_motioncitysoundtrack.html
Shiver,../lyrics/motioncitysoundtrack/shiver.html,I Am The Movie,2003,m_motioncitysoundtrack.html
The Future Freaks Me Out,../lyrics/motioncitysoundtrack/thefuturefreaksmeout.html,I Am The Movie,2003,m_motioncitysoundtrack.html
Indoor Living,../lyrics/motioncitysoundtrack/indoorliving.html,I Am The Movie,2003,m_motioncitysoundtrack.html
My Favorite Accident,../lyrics/motioncitysoundtrack/myfavoriteaccident.html,I Am The Movie,2003,m_motioncitysoundtrack.html
Perfect Teeth,../lyrics/motioncitysoundtrack/perfectteeth.html,I Am The Movie,2003,m_motioncitysoundtrack.html
Boombox Generation,../lyrics/motioncitysoundtrack/boomboxgeneration.html,I Am The Movie,2003,m_motioncitysoundtrack.html
Don't Call It A Comeback,../lyrics/motioncitysoundtrack/dontcallitacomeback.html,I Am The Movie,2003,m_motioncitysoundtrack.html
Modern Chemistry,../lyrics/motioncitysoundtrack/modernchemistry.html,I Am The Movie,2003,m_motioncitysoundtrack.html
Capital H,../lyrics/motioncitysoundtrack/capitalh.html,I Am The Movie,2003,m_motioncitysoundtrack.html
The Red Dress,../lyrics/motioncitysoundtrack/thereddress.html,I Am The Movie,2003,m_motioncitysoundtrack.html
Mary Without Sound,../lyrics/motioncitysoundtrack/marywithoutsound.html,I Am The Movie,2003,m_motioncitysoundtrack.html
Autographs And Apologies,../lyrics/motioncitysoundtrack/autographsandapologies.html,I Am The Movie,2003,m_motioncitysoundtrack.html
A.O.K.,../lyrics/motioncitysoundtrack/aok.html,I Am The Movie,2003,m_motioncitysoundtrack.html
,,I Am The Movie,2003,m_motioncitysoundtrack.html
Attractive Today,../lyrics/motioncitysoundtrack/attractivetoday.html,Commit This To Memory,2005,m_motioncitysoundtrack.html
Everything Is Alright,../lyrics/motioncitysoundtrack/everythingisalright.html,Commit This To Memory,2005,m_motioncitysoundtrack.html
When You're Around,../lyrics/motioncitysoundtrack/whenyourearound.html,Commit This To Memory,2005,m_motioncitysoundtrack.html
