song,link,album,year,artist
Suffocate,../lyrics/motograter/suffocate.html,Motograter,2003,m_motograter.html
Down,../lyrics/motograter/down.html,Motograter,2003,m_motograter.html
Prophecies (Almost Over),../lyrics/motograter/propheciesalmostover.html,Motograter,2003,m_motograter.html
Wrong,../lyrics/motograter/wrong.html,Motograter,2003,m_motograter.html
No Name,../lyrics/motograter/noname.html,Motograter,2003,m_motograter.html
Collapse,../lyrics/motograter/collapse.html,Motograter,2003,m_motograter.html
New Design (Start Over),../lyrics/motograter/newdesignstartover.html,Motograter,2003,m_motograter.html
Red,../lyrics/motograter/red.html,Motograter,2003,m_motograter.html
Mutiny,../lyrics/motograter/mutiny.html,Motograter,2003,m_motograter.html
Get Back,../lyrics/motograter/getback.html,Motograter,2003,m_motograter.html
Fight,../lyrics/motograter/fight.html,Motograter,2003,m_motograter.html
,,Motograter,2003,m_motograter.html
Parasite,../lyrics/motograter/parasite.html,Desolation,2017,m_motograter.html
Portrait Of Decay,../lyrics/motograter/portraitofdecay.html,Desolation,2017,m_motograter.html
