song,link,album,year,artist
Saga 05 (Intro),../lyrics/mpokora/saga05intro.html,M. Pokora,2004,m_mpokora.html
Showbiz (The Battle),../lyrics/mpokora/showbizthebattle.html,M. Pokora,2004,m_mpokora.html
Elle Me ContrÃ´le,../lyrics/mpokora/ellemecontrle.html,M. Pokora,2004,m_mpokora.html
Pas Sans Toi,../lyrics/mpokora/passanstoi.html,M. Pokora,2004,m_mpokora.html
Vie De Star,../lyrics/mpokora/viedestar.html,M. Pokora,2004,m_mpokora.html
SeÃ±orita,../lyrics/mpokora/seorita.html,M. Pokora,2004,m_mpokora.html
Combien De Temps,../lyrics/mpokora/combiendetemps.html,M. Pokora,2004,m_mpokora.html
Tourne Pas Le Dos,../lyrics/mpokora/tournepasledos.html,M. Pokora,2004,m_mpokora.html
Parti Trop TÃ´t,../lyrics/mpokora/partitroptt.html,M. Pokora,2004,m_mpokora.html
L'objet Du DÃ©sir,../lyrics/mpokora/lobjetdudsir.html,M. Pokora,2004,m_mpokora.html
L'adrÃ©naline,../lyrics/mpokora/ladrnaline.html,M. Pokora,2004,m_mpokora.html
Au Rythme De Ma Voix,../lyrics/mpokora/aurythmedemavoix.html,M. Pokora,2004,m_mpokora.html
,,M. Pokora,2004,m_mpokora.html
De Retour,../lyrics/mpokora/deretour.html,Player,2006,m_mpokora.html
Player,../lyrics/mpokora/player.html,Player,2006,m_mpokora.html
Oh La La La (Sexy Miss),../lyrics/mpokora/ohlalalasexymiss.html,Player,2006,m_mpokora.html
Ce Soir Je Lui Dis Tout,../lyrics/mpokora/cesoirjeluidistout.html,Player,2006,m_mpokora.html
Mal De Guerre,../lyrics/mpokora/maldeguerre.html,Player,2006,m_mpokora.html
L'enfer Du Samedi Soir,../lyrics/mpokora/lenferdusamedisoir.html,Player,2006,m_mpokora.html
Interlude (Cynthia),../lyrics/mpokora/interludecynthia.html,Player,2006,m_mpokora.html
Cynthia,../lyrics/mpokora/cynthia.html,Player,2006,m_mpokora.html
STP,../lyrics/mpokora/stp.html,Player,2006,m_mpokora.html
Cette Fille,../lyrics/mpokora/cettefille.html,Player,2006,m_mpokora.html
Regarde Maman,../lyrics/mpokora/regardemaman.html,Player,2006,m_mpokora.html
Oh!,../lyrics/mpokora/oh.html,Player,2006,m_mpokora.html
It's Alright,../lyrics/mpokora/itsalright.html,Player,2006,m_mpokora.html
,,Player,2006,m_mpokora.html
Dangerous,../lyrics/mpokora/dangerous.html,MP3,2008,m_mpokora.html
Catch Me If You Can,../lyrics/mpokora/catchmeifyoucan.html,MP3,2008,m_mpokora.html
Don't Give My Love Away,../lyrics/mpokora/dontgivemyloveaway.html,MP3,2008,m_mpokora.html
No Me Without U,../lyrics/mpokora/nomewithoutu.html,MP3,2008,m_mpokora.html
Treason,../lyrics/mpokora/treason.html,MP3,2008,m_mpokora.html
Internationalude,../lyrics/mpokora/internationalude.html,MP3,2008,m_mpokora.html
Tokyo Girl,../lyrics/mpokora/tokyogirl.html,MP3,2008,m_mpokora.html
They Talk Shit About Me,../lyrics/mpokora/theytalkshitaboutme.html,MP3,2008,m_mpokora.html
Quitte Ã Me Jouer,../lyrics/mpokora/quittemejouer.html,MP3,2008,m_mpokora.html
Forbidden Drive,../lyrics/mpokora/forbiddendrive.html,MP3,2008,m_mpokora.html
Climax,../lyrics/mpokora/climax.html,MP3,2008,m_mpokora.html
Why Do You Cry?,../lyrics/mpokora/whydoyoucry.html,MP3,2008,m_mpokora.html
Like A Criminal,../lyrics/mpokora/likeacriminal.html,MP3,2008,m_mpokora.html
Sur Ma Route,../lyrics/mpokora/surmaroute.html,MP3,2008,m_mpokora.html
Through The Eyes,../lyrics/mpokora/throughtheeyes.html,MP3,2008,m_mpokora.html
,,MP3,2008,m_mpokora.html
Juste Une Photo De Toi,../lyrics/mpokora/justeunephotodetoi.html,Mise Ã Jour,2010,m_mpokora.html
Mr & Mrs Smith,../lyrics/mpokora/mrmrssmith.html,Mise Ã Jour,2010,m_mpokora.html
"1, 2, 3",../lyrics/mpokora/123.html,Mise Ã Jour,2010,m_mpokora.html
Mirage,../lyrics/mpokora/mirage.html,Mise Ã Jour,2010,m_mpokora.html
