song,link,album,year,artist
Bones,../lyrics/msmr/bones.html,Candy Bar Creep Show,2012,m_msmr.html
Hurricane,../lyrics/msmr/hurricane.html,Candy Bar Creep Show,2012,m_msmr.html
Dark Doo Wop,../lyrics/msmr/darkdoowop.html,Candy Bar Creep Show,2012,m_msmr.html
Ash Tree Lane,../lyrics/msmr/ashtreelane.html,Candy Bar Creep Show,2012,m_msmr.html
,,Candy Bar Creep Show,2012,m_msmr.html
Hurricane,../lyrics/msmr/hurricane.html,Secondhand Rapture,2013,m_msmr.html
Bones,../lyrics/msmr/bones.html,Secondhand Rapture,2013,m_msmr.html
Ash Tree Lane,../lyrics/msmr/ashtreelane.html,Secondhand Rapture,2013,m_msmr.html
Fantasy,../lyrics/msmr/fantasy.html,Secondhand Rapture,2013,m_msmr.html
Dark Doo Wop,../lyrics/msmr/darkdoowop.html,Secondhand Rapture,2013,m_msmr.html
Head Is Not My Home,../lyrics/msmr/headisnotmyhome.html,Secondhand Rapture,2013,m_msmr.html
Salty Sweet,../lyrics/msmr/saltysweet.html,Secondhand Rapture,2013,m_msmr.html
Think Of You,../lyrics/msmr/thinkofyou.html,Secondhand Rapture,2013,m_msmr.html
Twenty Seven,../lyrics/msmr/twentyseven.html,Secondhand Rapture,2013,m_msmr.html
BTSK,../lyrics/msmr/btsk.html,Secondhand Rapture,2013,m_msmr.html
No Trace,../lyrics/msmr/notrace.html,Secondhand Rapture,2013,m_msmr.html
This Isn't Control,../lyrics/msmr/thisisntcontrol.html,Secondhand Rapture,2013,m_msmr.html
,,Secondhand Rapture,2013,m_msmr.html
Painted,../lyrics/msmr/painted.html,How Does It Feel,2015,m_msmr.html
Criminals,../lyrics/msmr/criminals.html,How Does It Feel,2015,m_msmr.html
No Guilt In Pleasure,../lyrics/msmr/noguiltinpleasure.html,How Does It Feel,2015,m_msmr.html
Wrong Victory,../lyrics/msmr/wrongvictory.html,How Does It Feel,2015,m_msmr.html
Tripolar,../lyrics/msmr/tripolar.html,How Does It Feel,2015,m_msmr.html
How Does It Feel,../lyrics/msmr/howdoesitfeel.html,How Does It Feel,2015,m_msmr.html
Tunnels,../lyrics/msmr/tunnels.html,How Does It Feel,2015,m_msmr.html
Leave Me Alone,../lyrics/msmr/leavemealone.html,How Does It Feel,2015,m_msmr.html
Reckless,../lyrics/msmr/reckless.html,How Does It Feel,2015,m_msmr.html
Cruel,../lyrics/msmr/cruel.html,How Does It Feel,2015,m_msmr.html
Pieces,../lyrics/msmr/pieces.html,How Does It Feel,2015,m_msmr.html
All The Things Lost,../lyrics/msmr/allthethingslost.html,How Does It Feel,2015,m_msmr.html
Strings,../lyrics/msmr/strings.html,,,m_msmr.html
