song,link,album,year,artist
Feeler,../lyrics/petemurray/feeler.html,Feeler,2003,m_murray.html
Bail Me Out,../lyrics/petemurray/bailmeout.html,Feeler,2003,m_murray.html
So Beautiful,../lyrics/petemurray/sobeautiful.html,Feeler,2003,m_murray.html
Lines,../lyrics/petemurray/lines.html,Feeler,2003,m_murray.html
Freedom,../lyrics/petemurray/freedom.html,Feeler,2003,m_murray.html
Please,../lyrics/petemurray/please.html,Feeler,2003,m_murray.html
Fall Your Way,../lyrics/petemurray/fallyourway.html,Feeler,2003,m_murray.html
My Time,../lyrics/petemurray/mytime.html,Feeler,2003,m_murray.html
Tonic,../lyrics/petemurray/tonic.html,Feeler,2003,m_murray.html
No More,../lyrics/petemurray/nomore.html,Feeler,2003,m_murray.html
Ten Ft Tall,../lyrics/petemurray/tenfttall.html,Feeler,2003,m_murray.html
,,Feeler,2003,m_murray.html
Opportunity,../lyrics/petemurray/opportunity.html,See The Sun,2005,m_murray.html
Class A,../lyrics/petemurray/classa.html,See The Sun,2005,m_murray.html
Fly With You,../lyrics/petemurray/flywithyou.html,See The Sun,2005,m_murray.html
Smile,../lyrics/petemurray/smile.html,See The Sun,2005,m_murray.html
Better Days,../lyrics/petemurray/betterdays.html,See The Sun,2005,m_murray.html
George's Helper,../lyrics/petemurray/georgeshelper.html,See The Sun,2005,m_murray.html
Lost Soul,../lyrics/petemurray/lostsoul.html,See The Sun,2005,m_murray.html
Remedy,../lyrics/petemurray/remedy.html,See The Sun,2005,m_murray.html
Trust,../lyrics/petemurray/trust.html,See The Sun,2005,m_murray.html
See The Sun,../lyrics/petemurray/seethesun.html,See The Sun,2005,m_murray.html
Security,../lyrics/petemurray/security.html,See The Sun,2005,m_murray.html
This Pill,../lyrics/petemurray/thispill.html,See The Sun,2005,m_murray.html
,,See The Sun,2005,m_murray.html
Chance To Say Goodbye,../lyrics/petemurray/chancetosaygoodbye.html,Summer At Eureka,2008,m_murray.html
Saving Grace,../lyrics/petemurray/savinggrace.html,Summer At Eureka,2008,m_murray.html
You Pick Me Up,../lyrics/petemurray/youpickmeup.html,Summer At Eureka,2008,m_murray.html
Silver Cloud,../lyrics/petemurray/silvercloud.html,Summer At Eureka,2008,m_murray.html
This Game,../lyrics/petemurray/thisgame.html,Summer At Eureka,2008,m_murray.html
Sugar,../lyrics/petemurray/sugar.html,Summer At Eureka,2008,m_murray.html
Miss Cold,../lyrics/petemurray/misscold.html,Summer At Eureka,2008,m_murray.html
Never Let The End Begin,../lyrics/petemurray/neverlettheendbegin.html,Summer At Eureka,2008,m_murray.html
Summer At Eureka,../lyrics/petemurray/summerateureka.html,Summer At Eureka,2008,m_murray.html
King Tide,../lyrics/petemurray/kingtide.html,Summer At Eureka,2008,m_murray.html
Happy Ground,../lyrics/petemurray/happyground.html,Summer At Eureka,2008,m_murray.html
,,Summer At Eureka,2008,m_murray.html
Blue Sky Blue,../lyrics/petemurray/blueskyblue.html,Blue Sky Blue,2011,m_murray.html
Always A Winner,../lyrics/petemurray/alwaysawinner.html,Blue Sky Blue,2011,m_murray.html
Hurricane Coming,../lyrics/petemurray/hurricanecoming.html,Blue Sky Blue,2011,m_murray.html
Free,../lyrics/petemurray/free.html,Blue Sky Blue,2011,m_murray.html
Led,../lyrics/petemurray/led.html,Blue Sky Blue,2011,m_murray.html
Let You Go,../lyrics/petemurray/letyougo.html,Blue Sky Blue,2011,m_murray.html
Broken,../lyrics/petemurray/broken.html,Blue Sky Blue,2011,m_murray.html
H.O.L.L.A.N.D.,../lyrics/petemurray/holland.html,Blue Sky Blue,2011,m_murray.html
Tattoo Stained,../lyrics/petemurray/tattoostained.html,Blue Sky Blue,2011,m_murray.html
Hold It All For Love,../lyrics/petemurray/holditallforlove.html,Blue Sky Blue,2011,m_murray.html
Vacant,../lyrics/petemurray/vacant.html,Blue Sky Blue,2011,m_murray.html
