song,link,album,year,artist
Closer,../lyrics/myfavoritehighway/closer.html,Anywhere But Here,2006,m_myfavoritehighway.html
Bad Habits,../lyrics/myfavoritehighway/badhabits.html,Anywhere But Here,2006,m_myfavoritehighway.html
You're Making It Come Alive,../lyrics/myfavoritehighway/youremakingitcomealive.html,Anywhere But Here,2006,m_myfavoritehighway.html
Unaware,../lyrics/myfavoritehighway/unaware.html,Anywhere But Here,2006,m_myfavoritehighway.html
Calendar Marks,../lyrics/myfavoritehighway/calendarmarks.html,Anywhere But Here,2006,m_myfavoritehighway.html
,,Anywhere But Here,2006,m_myfavoritehighway.html
Simple Life,../lyrics/myfavoritehighway/simplelife.html,How To Call A Bluff,2009,m_myfavoritehighway.html
Go,../lyrics/myfavoritehighway/go.html,How To Call A Bluff,2009,m_myfavoritehighway.html
Say So,../lyrics/myfavoritehighway/sayso.html,How To Call A Bluff,2009,m_myfavoritehighway.html
Getaway Car,../lyrics/myfavoritehighway/getawaycar.html,How To Call A Bluff,2009,m_myfavoritehighway.html
Bigger Than Love,../lyrics/myfavoritehighway/biggerthanlove.html,How To Call A Bluff,2009,m_myfavoritehighway.html
Dreamer,../lyrics/myfavoritehighway/dreamer.html,How To Call A Bluff,2009,m_myfavoritehighway.html
Bittersweet Life,../lyrics/myfavoritehighway/bittersweetlife.html,How To Call A Bluff,2009,m_myfavoritehighway.html
What Are You Waiting For?,../lyrics/myfavoritehighway/whatareyouwaitingfor.html,How To Call A Bluff,2009,m_myfavoritehighway.html
The Chase,../lyrics/myfavoritehighway/thechase.html,How To Call A Bluff,2009,m_myfavoritehighway.html
Entertain The Pain,../lyrics/myfavoritehighway/entertainthepain.html,How To Call A Bluff,2009,m_myfavoritehighway.html
Steel City,../lyrics/myfavoritehighway/steelcity.html,How To Call A Bluff,2009,m_myfavoritehighway.html
How To Call A Bluff,../lyrics/myfavoritehighway/howtocallabluff.html,,,m_myfavoritehighway.html
In My Heart,../lyrics/myfavoritehighway/inmyheart.html,,,m_myfavoritehighway.html
Murder On The Radio,../lyrics/myfavoritehighway/murderontheradio.html,,,m_myfavoritehighway.html
The Worst Way To Retaliate,../lyrics/myfavoritehighway/theworstwaytoretaliate.html,,,m_myfavoritehighway.html
"They Tried To Kill Chivalry, But We Brought It Back",../lyrics/myfavoritehighway/theytriedtokillchivalrybutwebroughtitback.html,,,m_myfavoritehighway.html
Walking On A Wire,../lyrics/myfavoritehighway/walkingonawire.html,,,m_myfavoritehighway.html
