song,link,album,year,artist
Shooby,../lyrics/nicolecmullen/shooby.html,Nicole C. Mullen,2000,n_nicolecmullen.html
Butterfly,../lyrics/nicolecmullen/butterfly.html,Nicole C. Mullen,2000,n_nicolecmullen.html
Farewell,../lyrics/nicolecmullen/farewell.html,Nicole C. Mullen,2000,n_nicolecmullen.html
Granny's Angel,../lyrics/nicolecmullen/grannysangel.html,Nicole C. Mullen,2000,n_nicolecmullen.html
Family Tree,../lyrics/nicolecmullen/familytree.html,Nicole C. Mullen,2000,n_nicolecmullen.html
Blowin' Kisses,../lyrics/nicolecmullen/blowinkisses.html,Nicole C. Mullen,2000,n_nicolecmullen.html
Redeemer,../lyrics/nicolecmullen/redeemer.html,Nicole C. Mullen,2000,n_nicolecmullen.html
"Black, White, Tan",../lyrics/nicolecmullen/blackwhitetan.html,Nicole C. Mullen,2000,n_nicolecmullen.html
Freedom,../lyrics/nicolecmullen/freedom.html,Nicole C. Mullen,2000,n_nicolecmullen.html
Homemade,../lyrics/nicolecmullen/homemade.html,Nicole C. Mullen,2000,n_nicolecmullen.html
Color,../lyrics/nicolecmullen/color.html,Nicole C. Mullen,2000,n_nicolecmullen.html
On My Knees,../lyrics/nicolecmullen/onmyknees.html,Nicole C. Mullen,2000,n_nicolecmullen.html
,,Nicole C. Mullen,2000,n_nicolecmullen.html
All Aboard,../lyrics/nicolecmullen/allaboard.html,Talk About It,2001,n_nicolecmullen.html
Talk About It (Say So),../lyrics/nicolecmullen/talkaboutitsayso.html,Talk About It,2001,n_nicolecmullen.html
Baby Girl,../lyrics/nicolecmullen/babygirl.html,Talk About It,2001,n_nicolecmullen.html
Call On Jesus,../lyrics/nicolecmullen/callonjesus.html,Talk About It,2001,n_nicolecmullen.html
#27,../lyrics/nicolecmullen/27.html,Talk About It,2001,n_nicolecmullen.html
Let Me Go,../lyrics/nicolecmullen/letmego.html,Talk About It,2001,n_nicolecmullen.html
Witness,../lyrics/nicolecmullen/witness.html,Talk About It,2001,n_nicolecmullen.html
Come Onto Me,../lyrics/nicolecmullen/comeontome.html,Talk About It,2001,n_nicolecmullen.html
I Can't Believe,../lyrics/nicolecmullen/icantbelieve.html,Talk About It,2001,n_nicolecmullen.html
The Ring,../lyrics/nicolecmullen/thering.html,Talk About It,2001,n_nicolecmullen.html
Sometimes,../lyrics/nicolecmullen/sometimes.html,Talk About It,2001,n_nicolecmullen.html
Jas Class,../lyrics/nicolecmullen/jasclass.html,Talk About It,2001,n_nicolecmullen.html
Black Light,../lyrics/nicolecmullen/blacklight.html,Talk About It,2001,n_nicolecmullen.html
When Heaven Calls,../lyrics/nicolecmullen/whenheavencalls.html,Talk About It,2001,n_nicolecmullen.html
,,Talk About It,2001,n_nicolecmullen.html
Christmas In Black And White,../lyrics/nicolecmullen/christmasinblackandwhite.html,Christmas In Black And White,2002,n_nicolecmullen.html
Lamb Of God,../lyrics/nicolecmullen/lambofgod.html,Christmas In Black And White,2002,n_nicolecmullen.html
365,../lyrics/nicolecmullen/365.html,Christmas In Black And White,2002,n_nicolecmullen.html
The Christmas Song,../lyrics/nicolecmullen/thechristmassong.html,Christmas In Black And White,2002,n_nicolecmullen.html
Sacred Night (Away In A Manger),../lyrics/nicolecmullen/sacrednightawayinamanger.html,Christmas In Black And White,2002,n_nicolecmullen.html
God's Own Son,../lyrics/nicolecmullen/godsownson.html,Christmas In Black And White,2002,n_nicolecmullen.html
"Merry Christmas, Baby",../lyrics/nicolecmullen/merrychristmasbaby.html,Christmas In Black And White,2002,n_nicolecmullen.html
Gifts From You,../lyrics/nicolecmullen/giftsfromyou.html,Christmas In Black And White,2002,n_nicolecmullen.html
St. Nick's Groove,../lyrics/nicolecmullen/stnicksgroove.html,Christmas In Black And White,2002,n_nicolecmullen.html
"Sing, Angels, Sing (Hark The Herald Angels Sing)",../lyrics/nicolecmullen/singangelssingharktheheraldangelssing.html,Christmas In Black And White,2002,n_nicolecmullen.html
"Angels, We Have Heard On High",../lyrics/nicolecmullen/angelswehaveheardonhigh.html,Christmas In Black And White,2002,n_nicolecmullen.html
