song,link,album,year,artist
Home,../lyrics/stephaniemills/home.html,Movin' In The Right Direction,1974,s_stephaniemills.html
Danny Boy,../lyrics/stephaniemills/dannyboy.html,Movin' In The Right Direction,1974,s_stephaniemills.html
Over The Rainbow,../lyrics/stephaniemills/overtherainbow.html,Movin' In The Right Direction,1974,s_stephaniemills.html
,,Movin' In The Right Direction,1974,s_stephaniemills.html
I Took My Strength From You,../lyrics/stephaniemills/itookmystrengthfromyou.html,For The First Time,1975,s_stephaniemills.html
,,For The First Time,1975,s_stephaniemills.html
What Cha Gonna Do With My Lovin',../lyrics/stephaniemills/whatchagonnadowithmylovin.html,What Cha' Gonna Do With My Lovin',1979,s_stephaniemills.html
You Can Get Over,../lyrics/stephaniemills/youcangetover.html,What Cha' Gonna Do With My Lovin',1979,s_stephaniemills.html
Feel The Fire,../lyrics/stephaniemills/feelthefire.html,What Cha' Gonna Do With My Lovin',1979,s_stephaniemills.html
Put Your Body In It,../lyrics/stephaniemills/putyourbodyinit.html,What Cha' Gonna Do With My Lovin',1979,s_stephaniemills.html
Starlight,../lyrics/stephaniemills/starlight.html,What Cha' Gonna Do With My Lovin',1979,s_stephaniemills.html
,,What Cha' Gonna Do With My Lovin',1979,s_stephaniemills.html
Sweet Sensation,../lyrics/stephaniemills/sweetsensation.html,Sweet Sensation,1980,s_stephaniemills.html
Never Knew Love Like This Before,../lyrics/stephaniemills/neverknewlovelikethisbefore.html,Sweet Sensation,1980,s_stephaniemills.html
,,Sweet Sensation,1980,s_stephaniemills.html
Two Hearts,../lyrics/stephaniemills/twohearts.html,Stephanie,1981,s_stephaniemills.html
Don't Stop Doin' What 'Cha Do,../lyrics/stephaniemills/dontstopdoinwhatchado.html,Stephanie,1981,s_stephaniemills.html
Night Games,../lyrics/stephaniemills/nightgames.html,Stephanie,1981,s_stephaniemills.html
,,Stephanie,1981,s_stephaniemills.html
His Name Is Michael,../lyrics/stephaniemills/hisnameismichael.html,Merciless,1983,s_stephaniemills.html
Pilot Error,../lyrics/stephaniemills/piloterror.html,Merciless,1983,s_stephaniemills.html
,,Merciless,1983,s_stephaniemills.html
The Medicine Song,../lyrics/stephaniemills/themedicinesong.html,I've Got The Cure,1984,s_stephaniemills.html
,,I've Got The Cure,1984,s_stephaniemills.html
Stand Back,../lyrics/stephaniemills/standback.html,Stephanie Mills,1985,s_stephaniemills.html
Rising Desire,../lyrics/stephaniemills/risingdesire.html,Stephanie Mills,1985,s_stephaniemills.html
I've Learned To Respect The Power Of Love,../lyrics/stephaniemills/ivelearnedtorespectthepoweroflove.html,Stephanie Mills,1985,s_stephaniemills.html
,,Stephanie Mills,1985,s_stephaniemills.html
I Feel Good All Over,../lyrics/stephaniemills/ifeelgoodallover.html,If I Were Your Woman,1987,s_stephaniemills.html
If I Were Your Woman,../lyrics/stephaniemills/ifiwereyourwoman.html,If I Were Your Woman,1987,s_stephaniemills.html
You're Puttin' A Rush On Me,../lyrics/stephaniemills/youreputtinarushonme.html,If I Were Your Woman,1987,s_stephaniemills.html
Secret Lady,../lyrics/stephaniemills/secretlady.html,If I Were Your Woman,1987,s_stephaniemills.html
Touch Me Now,../lyrics/stephaniemills/touchmenow.html,If I Were Your Woman,1987,s_stephaniemills.html
,,If I Were Your Woman,1987,s_stephaniemills.html
Something In The Way (You Make Me Feel),../lyrics/stephaniemills/somethinginthewayyoumakemefeel.html,Home,1989,s_stephaniemills.html
Home,../lyrics/stephaniemills/home.html,Home,1989,s_stephaniemills.html
Comfort Of A Man,../lyrics/stephaniemills/comfortofaman.html,Home,1989,s_stephaniemills.html
,,Home,1989,s_stephaniemills.html
Never Do You Wrong,../lyrics/stephaniemills/neverdoyouwrong.html,Something Real,1992,s_stephaniemills.html
"All Day, All Night",../lyrics/stephaniemills/alldayallnight.html,Something Real,1992,s_stephaniemills.html
All In How Much We Give,../lyrics/stephaniemills/allinhowmuchwegive.html,Something Real,1992,s_stephaniemills.html
,,Something Real,1992,s_stephaniemills.html
I Had A Talk With God,../lyrics/stephaniemills/ihadatalkwithgod.html,Personal Inspirations,1994,s_stephaniemills.html
Sweepin' Through The City,../lyrics/stephaniemills/sweepinthroughthecity.html,Personal Inspirations,1994,s_stephaniemills.html
He Cares,../lyrics/stephaniemills/hecares.html,Personal Inspirations,1994,s_stephaniemills.html
,,Personal Inspirations,1994,s_stephaniemills.html
Can't Let Him Go,../lyrics/stephaniemills/cantlethimgo.html,Born For This!,2004,s_stephaniemills.html
Never Knew Love,../lyrics/stephaniemills/neverknewlove.html,Born For This!,2004,s_stephaniemills.html
Healing Time,../lyrics/stephaniemills/healingtime.html,Born For This!,2004,s_stephaniemills.html
Born For This,../lyrics/stephaniemills/bornforthis.html,Born For This!,2004,s_stephaniemills.html
Bit By Bit (Theme From 'Fletch'),../lyrics/stephaniemills/bitbybitthemefromfletch.html,,,s_stephaniemills.html
How Come U Don't Call Me Anymore,../lyrics/stephaniemills/howcomeudontcallmeanymore.html,,,s_stephaniemills.html
Last Night,../lyrics/stephaniemills/lastnight.html,,,s_stephaniemills.html
Reach Out And Touch (Somebody's Hand),../lyrics/stephaniemills/reachoutandtouchsomebodyshand.html,,,s_stephaniemills.html
The Closer I Get To You,../lyrics/stephaniemills/thecloserigettoyou.html,,,s_stephaniemills.html
